"location","text"
"AW2_1.1","ἀλέξανδρος@n-s---mn- πρέσβυς@a-p---md- καί@c-------- διάκονος@n-p---md- ἀλεξάνδρεια@n-s---fg- καί@c-------- μαρεώτης@n-s---mg- πάρειμι@v-sppamn- πάρειμι1@v-pppamd- ἀγαπητός@a-p---md- ἀδελφός@n-p---md- ἐν@r-------- κύριος@n-s---md- χαίρω@v--pna---"
"AW2_1.2","εἰ@c-------- καί@d-------- φθάνω@v-papamn- ὑπογράφω@v2paia--- ὅς@p-p---md- ἐπιστέλλω@v1saia--- ὁ@l-p---md- περί@r-------- ἀρείων@n-s---ma- προτρέπω@v-sppamn- αὐτός@p-p---md- ἀρνέομαι@v--ane--- μέν@d-------- ὁ@l-s---fa- ἀσέβεια@n-s---fa- πείθω@v--anp--- δέ@c-------- ὁ@l-s---fd- ὑγιαίνω@v-sppafd- καί@c-------- καθολικός@a-s---fd- πίστις@n-s---fd- καί@c-------- δείκνυμι@v2paia--- ἑαυτοῦ@p-p---mg- ὀρθός@a-s---fa- ὁ@l-s---fa- προαίρεσις@n-s---fa- καί@c-------- ὁ@l-s---fa- ἐν@r-------- ὁ@l-p---nd- δόγμα@n-p---nd- συμφωνία@n-s---fa- ὁ@l-s---fg- καθολικός@a-s---fg- ἐκκλησία@n-s---fg- ὅμως@d-------- ἐπεί@c-------- καί@d-------- πρός@r-------- ὁ@l-p---ma- ἁπανταχοῦ@d-------- συλλειτουργός@n-p---ma- ἐπιστέλλω@v1saia--- περί@r-------- ὁ@l-p---ng- περί@r-------- ἀρείων@n-s---na- ἀναγκαῖος@a-s---na- ἡγέομαι@v1saim--- σύ@p-p---ma- μέν@d-------- ὁ@l-p---ma- ὁ@l-s---fg- πόλις@n-s---fg- κληρικός@a-p---ma- συνάγω@v--ana--- σύ@p-p---ma- δέ@c-------- ὁ@l-p---ma- ἀπό@r-------- ὁ@l-s---mg- μαρεώτης@n-s---mg- μεταπέμπω@v--anm---"
"AW2_1.3","μάλιστα@d-------- ὅτι@d-------- καί@d-------- ἀπό@r-------- σύ@p-p---mg- χάρης@n-s---mn- καί@c-------- πιστός@n-s---mn- πρέσβυς@a-p---mn- καί@d-------- σαραπίων@n-s---mn- καί@d-------- παράμμων@n-s---mn- καί@d-------- ζώσιμος@n-s---mn- καί@c-------- εἰρηναῖος@n-s---mn- διάκονος@n-p---mn- ἐπακολουθέω@v3paia--- ὁ@l-p---md- περί@r-------- ἀρείων@n-s---ma- καί@c-------- ἀγαπάω@v3paia--- σύν@r-------- αὐτός@p-p---md- καθαιρέω@v--anp--- ἵνα@c-------- καί@d-------- ὁ@l-p---na- νῦν@d-------- γράφω@v-pppena- γιγνώσκω@v2pasa--- ὁ@l-s---fa- τε@d-------- ἐν@r-------- οὗτος@p-p---nd- συμφωνία@n-s---fa- ἑαυτοῦ@p-p---mg- ἐπιδείκνυμι@v2pasm--- καί@c-------- ὁ@l-s---fd- καθαίρεσις@n-s---fd- ὁ@l-p---mg- περί@r-------- ἀρείων@n-s---ma- καί@c-------- ὁ@l-p---mg- περί@r-------- πιστός1@n-s---ma- σύμψηφος@a-p---mn- γίγνομαι@v2pasm---"
"AW2_1.4","πρέπω@v3spia--- γάρ@d-------- ὁ@l-p---na- παρά@r-------- ἐγώ@p-s---mg- γράφω@v-pppena- γιγνώσκω@v--pna--- σύ@p-p---ma- καί@c-------- ἕκαστος@a-s---ma- ὡς@c-------- παρά@r-------- αὐτός@p-s---mg- γράφω@v-pppena- ἐν@r-------- ὁ@l-s---fd- καρδία@n-s---fd- κατέχω@v--pna---"
"AW2_2.1","ὁ@l-p---md- ἀγαπητός@a-p---md- καί@c-------- τίμιος@a-p---mds συλλειτουργός@a-p---md- ὁ@l-p---md- ἁπανταχοῦ@d-------- ὁ@l-s---fg- καθολικός@a-s---fg- ἐκκλησία@n-s---fg- ἀλέξανδρος@n-s---mn- ἐν@r-------- κύριος@n-s---md- χαίρω@v--pna---"
"AW2_2.2","εἷς@a-s---ng- σῶμα@n-s---ng- εἰμί@v-sppang- ὁ@l-s---fg- καθολικός@a-s---fg- ἐκκλησία@n-s---fg- ἐντολή@n-s---fg- τε@c-------- εἰμί@v-sppafg- ἐν@r-------- ὁ@l-p---fd- θεῖος1@a-p---fd- γραφή@n-p---fd- τηρέω@v--pna--- ὁ@l-s---ma- σύνδεσμος@n-s---ma- ὁ@l-s---fg- ὁμόνοια@n-s---fg- καί@c-------- εἰρήνη@n-s---fg- ἀκόλουθος@a-s---nn- εἰμί@v3spia--- γράφω@v--pna--- ἐγώ@p1p---ca- καί@c-------- σημαίνω@v--pna--- ἀλλήλων@p-p---md- ὁ@l-p---na- παρά@r-------- ἕκαστος@a-s---ng- γίγνομαι@v-pppena- ἵνα@c-------- εἰ@c-------- τε@c-------- πάσχω@v3spia--- εἰ@d-------- τε@c-------- χαίρω@v3spia--- εἷς@m-s---na- μέλος@n-s---na- ἤ1@c-------- συμπάσχω@v1ppsa--- ἤ1@c-------- συγχαίρω@v1ppsa--- ἀλλήλων@p-p---nd-"
"AW2_2.3","ἐν@r-------- ὁ@l-s---fd- ἡμέτερος@a-s---fd- τοίνυν@d-------- παροικία@n-s---fd- ἐξέρχομαι@v3paia--- νῦν@d-------- ἀνήρ@n-p---mn- παράνομος@a-p---mn- καί@c-------- χριστομάχος@a-p---mn- διδάσκω@v-pppamn- ἀποστασία@n-s---fa- ὅς@p-s---fa- εἰκότως@d-------- ἄν@d-------- τις@p-s---mn- πρόδρομος@n-s---ma- ὁ@l-s---ng- ἀντίχριστος@a-s---ng- ὑπονοέω@v3saoa--- καί@c-------- καλέω@v3saoa---"
"AW2_2.4","καί@d-------- βούλομαι@v1siie--- μέν@d-------- σιωπή@n-s---fd- παραδίδωμι@v--ana--- ὁ@l-s---na- τοιοῦτος@p-s---na- ὅπως@c-------- ἐν@r-------- ὁ@l-p---md- προστάτης@n-p---md- μόνος@a-p---md- ἀναλίσκω@v3sasp--- ὁ@l-s---nn- κακός@a-s---nn- καί@c-------- μή@d-------- εἰς@r-------- ἕτερος@a-p---ma- τόπος@n-p---ma- διαβαίνω@v-sapann- ὁ@l-s---nn- τοιοῦτος@p-s---nn- ῥυπόω@v3sasa--- τις@p-p---mg- ἀκέραιος@a-p---mg- ὁ@l-p---fa- ἀκοή@n-p---fa- ἐπεί@c-------- δέ@d-------- εὐσέβιος@n-s---mn- ὁ@l-s---mn- νῦν@d-------- ἐν@r-------- ὁ@l-s---fd- νικομηδεία@n-s---fd- νομίζω@v-sapamn- ἐπί@r-------- αὐτός@p-s---md- κεῖμαι@v--pne--- ὁ@l-p---na- ὁ@l-s---fg- ἐκκλησία@n-s---fg- ὅτι@c-------- καταλιμπάνω@v-sapamn- ὁ@l-s---fa- βηρυτός@n-s---fa- καί@c-------- ἐποφθαλμίζω@v-sapamn- ὁ@l-s---fd- ἐκκλησία@n-s---fd- νικομηδες@n-p---mg- καί@c-------- οὐ@d-------- ἐκδικέω@v3srie--- κατά@r-------- αὐτός@p-s---mg- προίστημι@v3spie--- καί@d-------- οὗτος@a-p---mg- ὁ@l-p---mg- ἀποστατέω@n-p---mg- καί@c-------- γράφω@v--pna--- ἐπιχειρέω@v3saia--- πανταχοῦ@d-------- συνιστάω@v-sppamn- αὐτός@p-p---ma- ὅπως@c-------- ὑποσύρω@v3sasa--- τις@p-p---ma- ἀγνοέω@v-pppama- εἰς@r-------- ὁ@l-s---fa- αἰσχρός@a-s---fa- οὗτος@a-s---fa- καί@c-------- χριστομάχος@a-s---fa- αἵρεσις@n-s---fa- ἀνάγκη@n-s---fa- ἔχω@v1saia--- οἶδα@v-srpamn- ὁ@l-s---na- ἐν@r-------- ὁ@l-s---md- νόμος@n-s---md- γράφω@v-srpena- μηκέτι@d-------- μέν@d-------- σιωπάω@v--ana--- ἀναγγέλλω@v--ana--- δέ@c-------- πᾶς@a-p---md- σύ@p-p---md- ἵνα@c-------- γιγνώσκω@v2ppsa--- ὁ@l-p---ma- τε@d-------- ἀποστάτης@n-p---ma- γίγνομαι@v-papmma- καί@c-------- ὁ@l-p---na- ὁ@l-s---fg- αἵρεσις@n-s---fg- αὐτός@p-p---mg- δύστηνος@a-p---na- ῥῆμα@n-p---na- καί@c-------- ἐάν@c-------- γράφω@v3spsa--- εὐσέβιος@n-s---mn- μή@d-------- προσέχω@v2ppsa---"
"AW2_2.5","παλαιός@a-s---fa- γάρ@d-------- αὐτός@p-s---mg- κακόνοια@n-s---fa- ὁ@l-s---fa- χρόνος@n-s---md- σιωπάω@v-sappfa- νῦν@d-------- διά@r-------- οὗτος@p-p---ng- ἀνανεόομαι@v--ana--- βούλομαι@v-sppemn- σχηματίζομαι@v3sfim--- μέν@d-------- ὡς@d-------- ὑπέρ@r-------- οὗτος@p-p---ng- γράφω@v--pna--- ἔργον@n-s---nd- δέ@c-------- δείκνυμι@v3spia--- ὅτι@c-------- ὑπέρ@r-------- ἑαυτοῦ@p-s---mg- σπουδάζω@v-sppamn- οὗτος@p-s---na- ποιέω@v3spia---"
"AW2_2.6","ὁ@l-p---mn- μέν@d-------- οὖν@d-------- ἀποστάτης@n-p---mn- γίγνομαι@v-papmmn- εἰμί@v3ppia--- ἄρειος@n-s---mn- καί@d-------- ἀχιλλεύς@n-s---mn- καί@d-------- ἀειθαλής@n-s---mn- καί@d-------- καρπώνης@n-s---mn- καί@d-------- ἕτερος@a-s---mn- ἄρειος@n-s---mn- καί@c-------- σαρμάτης@n-s---mn- ὁ@l-p---mn- ποτέ@d-------- πρέσβυς@a-p---mnc καί@d-------- εὐζώϊος@n-s---mn- καί@d-------- λούκιος@n-s---mn- καί@d-------- ἰούλιος@n-s---mn- καί@d-------- μηνᾶς@n-s---mn- καί@d-------- ἑλλήνιος@n-s---mn- καί@c-------- γαῗος@n-s---mn- ὁ@l-p---mn- ποτέ@d-------- διάκονος@a-p---mn- καί@d-------- σύν@r-------- αὐτός@p-p---md- σεκοῦνδος@n-s---mn- καί@c-------- θεωνᾶς@n-s---mn- ὁ@l-p---mn- ποτέ@d-------- λέγω3@v-pappmn- ἐπίσκοπος@n-p---mn-"
