"location","text"
"fr.var._13.1","fr@n-------- θεόφραστος@n-s---mn- δέ@d-------- ὁ@l-s---fa- αἴσθησις@n-s---fa- ἀρχή@n-s---fa- εἰμί@v--pna--- πίστις@n-s---fg- φημί@v3spia--- ἀπό@r-------- γάρ@d-------- οὗτος@p-s---fg- ὁ@l-p---fn- ἀρχή@n-p---fn- πρός@r-------- ὁ@l-s---na- λόγος@n-s---ma- ὁ@l-s---ma- ἐν@r-------- ἐγώ@p1p---md- καί@c-------- ὁ@l-s---fa- διάνοια@n-s---fa- ἐκτείνω@v3ppie---"
"fr.var._14.1","fr@n-------- ὁ@l-s---mn- δέ@d-------- ἐρέσιος@a-s---mn- ἐκεῖνος@a-s---mn- θεόφραστος@n-s---mn- ὁ@l-s---mn- ἀριστοτέλης@n-s---mg- γνώριμος@a-s---mn- πη@c-------- μέν@d-------- οὐρανός@n-s---ma- πη@c-------- δέ@c-------- πνεῦμα@n-s---na- ὁ@l-s---ma- θεός@n-s---ma- ὑπονοέω@v3spia---"
"fr.var._15.1","fr@n-------- 15@x-------- θ.@x-------- ἐν@r-------- ὁ@l-p---nd- ἑαυτοῦ@p-s---mg- τοπικός@a-p---nd- ὅδε@p-p---na- γράφω@v3sria--- ἐπεί@c-------- δέ@d-------- ἐναντίος@a-p---fn- ὁ@l-p---mg- ἐναντίος@a-p---mg- ὁ@l-p---fn- ἀρχή@n-p---fn- δῆλος@a-s---nn- ὅτι@c-------- οὐ@d-------- δέ@c-------- ἐν@r-------- εἷς@a-s---nd- γένος@n-s---nd- οὗτος@p-p---nn- καθά@c-------- οὐ@d-------- δέ@c-------- ὁ@l-s---nn- ἀγαθός@a-s---nn- καί@d-------- κακός@a-s---nn- καί@d-------- κίνησις@n-s---fn- καί@c-------- στάσις@n-s---fn- εἰμί@v3spoa--- δέ@g-------- ἄν@g-------- καί@c-------- ὑπεροχή@n-s---fn- καί@c-------- ἔλλειψις@n-s---fn- ἐναντίος@a-s---fn- γε@g-------- καί@c-------- ἀρχή@n-p---fn- καί@c-------- εἶδος@n-s---nn- καί@c-------- στέρησις@n-s---fn-"
"fr.var._16.1","fr@n-------- 16@n-s---mv- θ.@x-------- ἐν@r-------- τρίτος@a-s---nd- ὁ@l-p---ng- φυσικός@a-p---ng- ἤ1@c-------- περί@r-------- οὐρανός@n-s---mg- ὁ@l-p---nn- γίγνομαι@v-pppenn- διαιρέω@v3spia--- οὕτως@d-------- ἤ1@c-------- γάρ@d-------- ὑπό@r-------- ὅμοιος@a-s---ng- γίγνομαι@v3spie--- ὡς@c-------- ἄνθρωπος@n-s---mn- ὑπό@r-------- ἄνθρωπος@n-s---mg- καί@c-------- θερμός@a-s---nn- ὑπό@r-------- θερμός@a-s---mg- ἤ1@c-------- ὑπό@r-------- ἐναντίος@a-s---mg- ὡς@c-------- ὁράω@v1ppia--- ὁ@l-p---ma- κεραυνός@n-p---ma- καί@c-------- ὁ@l-p---fa- ἀστραπή@n-p---fa- ὑπό@r-------- γάρ@d-------- ψυχρότης@n-s---fg- ὁ@l-s---fn- οὗτος@p-s---mg- ὁ@l-s---ng- πῦρ@n-s---ng- ἐν@r-------- ὁ@l-s---nd- ἀήρ@n-s---nd- γένεσις@n-s---fn- ἀθροίζω@v-sppamg- εἰς@r-------- ἐν@r-------- ὁ@l-s---na- ἐν@r-------- αὐτός@p-p---md- θερμός@a-s---na- ἐκκαίω@v-sppamg- ἤ1@c-------- τρίτος@a-s---na- ὑπό@r-------- ἐντελεχείᾳ@n-s---fd- ὅλος@d-------- εἰμί@v-sppamg- ὡς@c-------- καί@d-------- ὁ@l-s---mn- μώλωψ@n-s---mn- ὑπό@r-------- γάρ@d-------- ἐντελεχείᾳ@n-s---fd- εἰμί@v-sppafg- ὁ@l-s---fg- μάστιξ@n-s---fg- γίγνομαι@v3spie--- οὐ@d-------- τε@d-------- δέ@c-------- ὁμοῖος@a-s---fg- ἔτι@d-------- οὐ@d-------- τε@c-------- ἐναντίος@a-s---fg- ὁ@l-s---nd- γίγνομαι@v-sppend- καί@d-------- ὁ@l-p---nn- ὑπό@r-------- ὁ@l-s---mg- ἥλιος@n-s---mg- δέ@d-------- φημί@v3spia--- γίγνομαι@v-pppenn- ὑπό@r-------- ἐντελεχεία@n-s---fg- γίγνομαι@v3spie--- καί@d-------- γάρ@d-------- αὐτός@p-s---mn- οὐ@d-------- τε@d-------- ὅμοιος@a-s---mn- οὐ@d-------- τε@c-------- ἐναντίος@a-s---mn- ὁ@l-p---md- γίγνομαι@v-pppemd-"
"fr.var._17.1","fr@n-------- θ.@x-------- ἐν@r-------- ἀρχή@n-s---fd- ὁ@l-p---ng- αὐτός@p-s---mg- φυσικός@a-p---ng- καί@d-------- οὗτος@a-s---fa- ὁ@l-s---fa- πρότασις@a-s---fa- ἀποδείκνυμι@v3saia--- λέγω3@v-sppamn- ὁ@l-s---na- μέντοι@d-------- ὁ@l-p---ng- φυσικός@a-p---ng- ὁ@l-s---mn- ἀρχή@n-p---fa- εἰμί@v--pna--- δῆλος@a-s---nn- ἐκ@r-------- ὁ@l-s---ng- ὁ@l-p---na- μέν@d-------- φυσικός@a-p---na- σῶμα@n-p---na- σύνθετος@a-p---na- εἰμί@v--pna--- πᾶς@a-s---na- δέ@d-------- σύνθετος@a-s---na- ἀρχή@n-p---fa- ἔχω@v--pna--- ὁ@l-p---na- ἐκ@r-------- ὅς@p-p---ng- σύγκειμαι@v3spie--- ἅπας@a-s---nn- γάρ@d-------- ὁ@l-s---nn- φύσις@n-s---fd- ἤ1@c-------- σῶμα@n-s---nn- εἰμί@v3spia--- ἤ1@c-------- ἔχω@v3spia--- γε@d-------- σῶμα@n-s---na- ἄμφω@a-d---mn- δέ@g-------- σύνθετος@a-p---nn-"
"fr.var._18.1","fr@n-------- 18@d-------- ὅλος@d-------- δέ@d-------- ὡς@c-------- κοινός@d-------- εἶπον@v--ana--- ἀπό@r-------- ὁ@l-p---fg- αἴσθησις@n-p---fg- καί@c-------- ὁ@l-p---ng- αἰσθητός@n-p---fg- ὁ@l-p---fg- περί@r-------- ὁ@l-p---fg- φυσικός@a-p---fg- ἀρχή@n-p---fg- ἀλήθεια@n-s---fa- ἀνιχνευτέος@a-s---nn- καί@d-------- θεόφραστος@n-s---md- πείθω@v-pppemd- ὅς@p-s---mn- περί@r-------- οὗτος@p-s---ng- ζητέω@v-sppamn- ἐν@r-------- πρῶτος@a-s---md- ὁ@l-p---ng- φυσικός@a-p---ng- ὅδε@p-p---na- γράφω@v3sria--- ἐπεί@c-------- δέ@d-------- οὐ@d-------- ἄνευ@r-------- μέν@d-------- κίνησις@n-s---fg- οὐ@d-------- δέ@c-------- περί@r-------- εἷς@a-s---ng- λεκτέος@a-s---nn- πᾶς@a-p---nn- γάρ@d-------- ἐν@r-------- κίνησις@n-s---fd- ὁ@l-p---nn- ὁ@l-s---fg- φύσις@n-s---fg- ἄνευ@r-------- δέ@d-------- ἀλλοιωτικός@a-s---fg- καί@c-------- παθητικός@a-s---fg- οὐ@d-------- ὑπέρ@r-------- ὁ@l-p---ng- περί@r-------- ὁ@l-s---na- μέσος@a-s---na- εἰς@r-------- οὗτος@p-p---na- τε@c-------- καί@c-------- περί@r-------- οὗτος@p-p---ng- λέγω3@v-pppama- οὐ@d-------- οἷος@p-s---nn- τε@d-------- καταλιμπάνω@v--ana--- ὁ@l-s---fa- αἴσθησις@n-s---fa- ἀλλά@c-------- ἀπό@r-------- οὗτος@p-s---fg- ἄρχω@v-pppema- πειράω@v--pne--- χρή@v3spia--- θεωρέω@v--pna--- ἤ1@c-------- ὁ@l-p---na- φαίνω@v-pppena- λαμβάνω@v-pppama- κατά@r-------- ἑαυτοῦ@p-p---na- ἤ1@c-------- ἀπό@r-------- οὗτος@p-p---fg- εἰ@c-------- τις@p-p---fn- ἄρα@d-------- κύριος@a-p---fnc καί@c-------- πρότερος@a-p---fn- οὗτος@p-p---fg- ἀρχή@n-p---fn- καί@c-------- καλός@a-s---nac οἴομαι@v1spie--- τοιοῦτος@p-s---ma- τις@p-s---ca- τρόπος@n-s---ma- ὁ@l-s---fa- ἀπό@r-------- ὁ@l-p---mg- ἐγώ@p1p---cd- γνώριμος@a-p---mgc ἐπί@r-------- ὁ@l-p---fa- ἀρχή@n-p---fa- ἐπίβασις@n-s---fa- γίγνομαι@v--pne---"
"fr.var._19.1","fr@n-------- θ.@x-------- ἐν@r-------- ὁ@l-s---md- πρῶτος@a-s---md- ὁ@l-p---ng- ἑαυτοῦ@p-s---mg- φυσικός@a-p---ng- καί@d-------- κατά@r-------- ἕκαστος@a-s---na- γένος@n-s---na- ὁ@l-p---fg- κατηγορία@n-p---fg- ὁ@l-s---fa- κίνησις@n-s---fa- θεωρέω@v--pne--- φημί@v3spia--- γράφω@v-sppamn- οὕτως@d-------- περί@r-------- δέ@d-------- κίνησις@n-s---fg- ὁ@l-s---ma- μέν@d-------- καθόλου@d-------- καί@c-------- κοινός@a-s---ma- λόγος@n-s---ma- οὐ@d-------- χαλεπός@a-s---nn- ἀποδίδωμι@v--ana--- καί@c-------- εἶπον@v--ana--- ὡς@c-------- ἐνέργεια@n-s---fn- τις@p-s---cn- εἰμί@v3spia--- ἀτελής@a-s---fn- ὁ@l-s---ng- δύναμις@n-s---fd- εἰμί@v-sppang- ὅς@p-s---fd- τοιοῦτος@a-s---nn- κατά@r-------- ἕκαστος@a-s---na- γένος@n-s---na- ὁ@l-p---fg- κατηγορία@n-p---fg- διό@d-------- καί@d-------- προέρχομαι@v-sapamn- ὀλίγος@a-s---na- ὁ@l-s---mn- θ.@n-------- ζητέω@v--pna--- δεῖ@v--pna--- φημί@v3spia--- περί@r-------- ὁ@l-p---fg- κνῆσις@n-p---fg- εἰ@c-------- ὁ@l-p---fn- μέν@d-------- κίνησις@n-p---fn- εἰμί@v3ppia--- ὁ@l-p---fn- δέ@c-------- ὥσπερ@c-------- ἐνέργεια@n-p---fn- τις@p-p---fn-"
"fr.var._20.20","fr@n-------- ἐν@r-------- ὁ@l-s---md- δεύτερος@a-s---md- ὁ@l-p---mg- περί@r-------- κίνησις@n-s---fg- οἰκεῖος@a-s---nnc δέ@d-------- ὅσπερ@p-s---nn- καί@d-------- λέγω3@v1ppia--- καί@c-------- εἰμί@v3spia--- ἐνέργεια@n-s---fa- ὁ@l-s---ng- δύναμις@n-s---fd- κινητός@a-s---ng- ὅς@p-p---na- κινητός@a-s---ma- κατά@r-------- γένος@n-s---na- ἕκαστος@a-s---nn- ὁ@l-p---fg- κατηγορία@n-p---fg- οἷος@p-s---na- οὐσία@n-s---fg- ποσός@p-s---mg- ποιέω@n-s---ng- φορητός@n-s---ng- ὁ@l-p---ng- ἄλλος@p-p---ng- οὕτως@d-------- γάρ@d-------- ἀλλοίωσις@n-s---fn- αὔξησις@n-s---fn- φορά@n-s---fn- γένεσις@n-s---fn- καί@c-------- ὁ@l-p---fn- ἐναντίος@n-p---fn- οὗτος@p-p---fd- ἐν@r-------- ὁ@l-s---md- τρίτος@a-s---nd- δέ@d-------- οἴομαι@v1spie--- σαφής@d-------c οὗτος@p-p---na- γράφω@v3sria--- ἐν@r-------- μέν@d-------- ὁ@l-s---md- ἀφορισμός@n-s---md- ὁ@l-s---fg- κίνησις@n-s---fg- τοσοῦτος@p-p---na- φημί@v1ppia--- αὐτός@p-s---fg- εἶδος@n-p---na- ὅσος@a-p---fn- κατηγορία@n-s---fd- ὁ@l-s---fa- γάρ@d-------- ὁ@l-s---ng- δύναμις@n-s---fd- εἰμί@v-sppang- ὅς@p-s---fd- τοιοῦτος@p-s---fa- ἐντελέχεια@n-s---fa- κίνησις@n-s---fa- καί@c-------- οὗτος@p-s---na- δέ@d-------- ἐν@r-------- ὁ@l-s---nd- αὐτός@a-s---nd- βιβλίον@n-s---nd- φημί@v3spia--- ὁ@p-s---ng- δέ@d-------- πρός@r-------- τις@p-s---na- κίνησις@n-s---fn- ὁ@l-s---ng- μέν@d-------- κατά@r-------- λόγος@n-s---ma- οὐ@d-------- εἰμί@v3spia--- ὁ@p-s---mg- δέ@d-------- κατά@r-------- δύναμις@n-s---fa- εἰμί@v3spia--- ὁ@l-s---fn- γάρ@d-------- ἐνέργεια@n-s---fn- κίνησις@n-s---fn- τε@d-------- καί@c-------- κατά@r-------- ἑαυτοῦ@p-s---na-"
"fr.var._21.1","fr@n-------- 21@x-------- θ.@x-------- ἐν@r-------- ὁ@l-p---nd- φυσικός@a-p---nd- ἀπορέω@v3spia--- πρός@r-------- ὁ@l-s---ma- ἀποδίδωμι@v-sappma- ὁ@l-s---mg- τόπος@n-s---mg- λόγος@n-s---ma- ὑπό@r-------- ὁ@l-s---mg- ἀριστοτέλης@n-s---mg- τοιοῦτος@p-p---nn- ὅτι@c-------- ὁ@l-s---nn- σῶμα@n-s---nn- εἰμί@v3sfim--- ἐν@r-------- ἐπιφάνεια@n-s---fd- ὅτι@c-------- κινέω@v-sppemn- εἰμί@v3sfim--- ὁ@l-s---mn- τόπος@n-s---mn- ὅτι@c-------- οὐ@d-------- πᾶς@a-s---nn- σῶμα@n-s---nn- ἐν@r-------- τόπος@n-s---md- οὐ@d-------- δέ@c-------- γάρ@d-------- ὁ@l-s---fn- ἀπλανής@a-s---fn- ὅτι@c-------- ἐάν@c-------- συνάγω@v3pasp--- ὁ@l-p---fn- σφαῖρα@n-p---fn- καί@c-------- ὅλος@a-s---mn- ὁ@l-s---mn- οὐράω@n-s---mn- νός@n-s---mn- οὐ@d-------- εἰμί@v3sfim--- ἐν@r-------- τόπος@n-s---md- ὅτι@c-------- ὁ@l-p---na- ἐν@r-------- τόπος@n-s---md- εἰμί@v-pppana- μηδείς@p-s---na- αὐτός@p-p---nn- μετακινέω@v-pappnn- ἐάν@c-------- ἀφαιρέω@v3sasp--- ὁ@l-p---na- περιέχω@v-pppann- αὐτός@p-p---nn- οὐκέτι@d-------- εἰμί@v3sfim--- ἐν@r-------- τόπος@n-s---md-"
"fr.var._22.1","fr@n-------- καί@c-------- θ.@n-------- ἐν@r-------- ὁ@l-p---nd- φυσικός@a-p---nd- φαίνω@v3spie--- ὁ@l-s---fa- ἔννοια@n-s---fa- οὗτος@a-s---fa- ὁ@d-------- ἔχω@v-srpamn- περί@r-------- ὁ@l-s---mg- τόπος@n-s---mg- ἐν@r-------- ὅς@p-p---nd- φημί@v3spia--- ὡς@c-------- ἐν@r-------- ἀπορία@n-s---fd- προάγω@v-sppamn- ὁ@l-s---ma- λόγος@n-s---ma- μήποτε@d-------- οὐ@d-------- εἰμί@v3spia--- κατά@r-------- ἑαυτοῦ@p-s---fa- οὐσία@n-s---fn- τις@a-s---fn- ὁ@l-s---mn- τόπος@n-s---mn- ἀλλά@c-------- ὁ@l-s---fd- τάξις@n-s---fd- καί@c-------- θέσις@n-s---fd- ὁ@l-p---ng- σῶμα@n-p---ng- λέγω3@v3spie--- κατά@r-------- ὁ@l-p---fa- φύσις@n-p---fa- καί@c-------- δύναμις@n-p---fa- ὅμοιος@d-------- δέ@d-------- ἐπί@r-------- ζώιον@n-p---ng- καί@c-------- φυτόν@n-p---ng- καί@c-------- ὅλος@d-------- ὁ@l-p---fg- ἀνομοιομερής@n-p---ng- εἰ@c-------- τε@c-------- ἔμψυχος@a-p---ng- εἰ@c-------- τε@c-------- ἄψυχος@a-p---ng- ἔμμορφος@a-s---fa- δέ@d-------- ὁ@l-s---fa- φύσις@n-s---fa- ἔχω@v-pppang- καί@d-------- γάρ@d-------- οὗτος@p-p---ng- τάξις@n-s---fn- τις@a-s---fn- καί@c-------- θέσις@n-s---fn- ὁ@l-p---ng- μέρος@n-p---ng- εἰμί@v3spia--- πρός@r-------- ὁ@l-s---fa- ὅλος@a-s---fa- οὐσία@n-s---fa- διό@d-------- καί@d-------- ἕκαστος@a-s---nn- ἐν@r-------- ἑαυτοῦ@p-s---mg- χώρα@n-s---fd- λέγω3@v3spie--- ὁ@l-s---nd- ἔχω@v--pna--- ὁ@l-s---fa- οἰκεῖος@a-s---fa- τάξις@n-s---fa- ἐπεί@c-------- καί@c-------- ὁ@l-p---ng- ὁ@l-s---ng- σῶμα@n-s---ng- μέρος@n-p---ng- ἕκαστος@a-s---nn- ἐπιποθέω@v3saoa--- ἄν@d-------- καί@c-------- ἀπαιτέω@v3saoa--- ὁ@l-s---fa- ἑαυτοῦ@p-s---mg- χώρα@n-s---fa- καί@c-------- θέσις@n-s---fa-"
