"location","text"
"enc.Hel._1","κόσμος@n-s---mn- πόλις@n-s---fd- μέν@d-------- εὐανδρία@n-s---fn- σῶμα@n-s---nd- δέ@d-------- κάλλος@n-s---nn- ψυχή@n-s---fd- δέ@d-------- σοφία@n-s---fn- πρᾶγμα@n-s---nd- δέ@d-------- ἀρετή@n-s---fn- λόγος@n-s---md- δέ@c-------- ἀλήθεια@n-s---fn- ὁ@l-p---nn- δέ@d-------- ἐναντίος@a-p---nn- οὗτος@p-p---ng- ἀκοσμία@n-s---fn- ἀνήρ@n-s---ma- δέ@d-------- καί@c-------- γυνή@n-s---fa- καί@c-------- λόγος@n-s---ma- καί@c-------- ἔργον@n-s---na- καί@c-------- πόλις@n-s---fa- καί@c-------- πρᾶγμα@n-s---na- χρή@v3spia--- ὁ@l-s---na- μέν@d-------- ἄξιος@a-s---na- ἔπαινος@n-s---mg- ἔπαινος@n-s---md- τιμάω@v--pna--- ὁ@l-s---nd- δέ@d-------- ἀνάξιος@a-s---nd- μῶμος@n-s---ma- ἐπιτίθημι@v--pna--- ἴσος@a-s---fn- γάρ@d-------- ἁμαρτία@n-s---fn- καί@c-------- ἀμαθία@n-s---fn- μέμφομαι@v--pne--- τε@d-------- ὁ@l-p---na- ἐπαινετός@n-p---na- καί@c-------- ἐπαινέω@v--pna--- ὁ@l-p---na- μωμητός@a-p---na-"
"enc.Hel._2","ὁ@l-s---mg- δέ@d-------- αὐτός@a-s---mg- ἀνήρ@n-s---mg- λέγω@v--ana--- τε@g-------- ὁ@l-s---na- δεῖ@v-sppana- ὀρθός@d-------- καί@c-------- ἐλέγχω@v--ana--- ἐλέγχω@v--ana--- ὁ@l-p---ma- μέμφομαι@v-pppema- ἑλένη@n-s---fa- γυνή@n-s---fa- περί@r-------- ὅς@p-s---fg- ὁμόφωνος@a-s---mn- καί@c-------- ὁμόψηφος@a-s---fn- γίγνομαι@v3sria--- ὅς@l-s---fn- τε@c-------- ὁ@l-p---mg- ποιητής@n-p---mg- ὅς@l-s---fn- τε@d-------- ὁ@l-p---mg- ἀκούω@v-papamg- πίστις@n-s---fn- ὅς@l-s---fn- τε@c-------- ὁ@l-s---ng- ὄνομα@n-s---ng- φήμη@n-s---fn- ὁ@l-p---fg- συμφορά@n-p---fg- μνήμη@n-s---fn- γίγνομαι@v3sria--- ἐγώ@p-s---mn- δέ@d-------- βούλομαι@v1spie--- λογισμός@n-s---ma- τις@a-s---ma- ὁ@l-s---md- λόγος@n-s---md- δίδωμι@v-sapamn- ὁ@l-s---fa- μέν@d-------- κακός@d-------- ἀκούω@v-sppafa- παύω@v2samm--- ὁ@l-s---fg- αἰτία@n-s---fg- ὁ@l-p---ma- δέ@c-------- μέμφομαι@v-pppema- ψεύδω@v-pppema- ἐπιδείκνυμι@v-sapamn- καί@c-------- δείκνυμι@v-sapamn- ὁ@l-s---na- ἀληθής@a-s---na- παύω@v2samm--- ὁ@l-s---fg- ἀμαθία@n-s---fg-"
"enc.Hel._3","ὅτι@c-------- μέν@d-------- οὖν@d-------- φύσις@n-s---fd- καί@c-------- γένος@n-s---nd- ὁ@l-p---na- πρῶτος@a-p---na- ὁ@l-p---mg- πρῶτος@a-p---mg- ἀνήρ@n-p---mg- καί@c-------- γυνή@n-p---fg- ὁ@l-s---fn- γυνή@n-s---fn- περί@r-------- ὅς@p-s---fg- ὅδε@a-s---mn- ὁ@l-s---mn- λόγος@n-s---mn- οὐ@d-------- ἄδηλος@a-s---nn- οὐδέ@d-------- ὀλίγος@a-p---md- δῆλος@a-s---nn- γάρ@d-------- ὡς@c-------- μήτηρ@n-s---fg- μέν@d-------- λήδη@n-s---fg- πατήρ@n-s---mg- δέ@c-------- ὁ@l-s---mg- μέν@d-------- γίγνομαι@v-sapmmg- θεός@n-s---mg- λέγω1@v-sppemg- δέ@c-------- θνητός@a-s---mg- τυνδάρεως@n-s---mg- καί@c-------- ζεύς@n-s---mg- ὅς@p-p---mg- ὁ@l-s---mn- μέν@d-------- διά@r-------- ὁ@l-s---na- εἰμί@v--pna--- δοκέω@v3saia--- ὁ@l-s---mn- δέ@c-------- διά@r-------- ὁ@l-s---na- φημί@v--pna--- λέγω3@v3saip--- καί@c-------- εἰμί@v3siia--- ὁ@l-s---mn- μέν@d-------- ἀνήρ@n-p---mg- κράτιστος@a-s---mn- ὁ@l-s---mn- δέ@c-------- πᾶς@a-p---mg- τύραννος@n-s---mn-"
"enc.Hel._4","ἐκ@r-------- τοιοῦτος@p-p---ng- δέ@d-------- γίγνομαι@v-sapmfn- ἔχω@v3saia--- ὁ@l-s---na- ἰσόθεος@a-s---na- κάλλος@n-s---na- ὅς@p-s---na- λαμβάνω@v-sapafn- καί@c-------- οὐ@d-------- λανθάνω@v-sapafn- ἔχω@v3saia--- πλεῖστος@a-p---fa- δέ@d-------- πλεῖστος@a-p---md- ἐπιθυμία@n-p---fa- ἔρως@n-s---mg- ἐνεργάζομαι@v3saie--- εἷς@a-s---nd- δέ@c-------- σῶμα@n-s---nd- πολύς@a-p---na- σῶμα@n-p---na- συνάγω@v3saia--- ἀνήρ@n-p---mg- ἐπί@r-------- μέγας@a-p---nd- μέγας@a-p---na- φρονέω@v-pppamg- ὅς@p-p---mg- ὁ@l-p---mn- μέν@d-------- πλοῦτος@n-s---mg- μέγεθος@n-p---na- ὁ@l-p---mn- δέ@d-------- εὐγένεια@n-s---fg- παλαιός@a-s---fg- εὐδοξία@n-s---fa- ὁ@l-p---mn- δέ@d-------- ἀλκή@n-s---fg- οἰκεῖος@a-s---fg- εὐεξία@n-s---fa- ὁ@l-p---mn- δέ@c-------- σοφία@n-s---fg- ἐπίκτητος@a-s---fg- δύναμις@n-s---fa- ἔχω@v3paia--- καί@c-------- ἥκω@v3piia--- ἅπας@a-p---mn- ὑπό@r-------- ἔρως@n-s---mg- τε@d-------- φιλόνικος@a-s---mg- φιλοτιμία@n-s---fg- τε@c-------- ἀνίκητος@a-s---fg-"
"enc.Hel._5","ὅστις@p-s---mn- μέν@d-------- οὖν@d-------- καί@d-------- διά@r-------- ὅς@p-s---na- τις@a-s---na- καί@c-------- ὅπως@d-------- ἀποπίνω@v3saia--- ὁ@l-s---ma- ἔρως@n-s---ma- ὁ@l-s---fa- ἑλένη@n-s---fa- λαμβάνω@v-sapamn- οὐ@d-------- λέγω@v1sfia--- ὁ@l-s---nn- γάρ@g-------- ὁ@l-p---md- οἶδα@v-prpamd- ὅς@p-p---na- οἶδα@v3ppia--- λέγω3@v--pna--- πίστις@n-s---fa- μέν@d-------- ἔχω@v3spia--- τέρψις@n-s---fa- δέ@g-------- οὐ@d-------- φέρω@v3spia--- ὁ@l-s---ma- χρόνος@n-s---ma- δέ@d-------- ὁ@l-s---md- λόγος@n-s---md- ὁ@l-s---ma- τότε@d-------- ὁ@l-s---md- νῦν@d-------- ὑπερβαίνω@v-sapamn- ἐπί@r-------- ὁ@l-s---fa- ἀρχή@n-s---fa- ὁ@l-s---mg- μέλλω@v-sppamg- λόγος@n-s---mg- προβαίνω@v1sfim--- καί@c-------- προτίθημι@v1sfim--- ὁ@l-p---fa- αἰτία@n-p---fa- διά@r-------- ὅς@p-p---fa- ἔοικα@v-srpann- εἰμί@v3siia--- γίγνομαι@v--anm--- ὁ@l-s---ma- ὁ@l-s---fg- ἑλένη@n-s---fg- εἰς@r-------- ὁ@l-s---fa- τροία@n-s---fa- στόλος@n-s---ma-"
"enc.Hel._6","ἤ1@p-s---fn- γάρ@d-------- τύχη@n-s---fg- βούλημα@n-p---nd- καί@d-------- θεός@n-p---mg- βούλευμα@n-p---nd- καί@c-------- ἀνάγκη@n-s---fg- ψήφισμα@n-p---nd- πράσσω@v3saia--- ὅς@p-p---na- πράσσω@v3saia--- ἤ1@d-------- βία@n-s---fd- ἁρπάζω@v-sappfn- ἤ1@d-------- λόγος@n-p---md- πείθω@v-sappfn- ἤ1@c-------- ἔρως@n-s---md- ἁλίσκομαι@v-sapafn- εἰ@c-------- μέν@d-------- οὖν@d-------- διά@r-------- ὁ@l-s---na- πρῶτος@a-s---na- ἄξιος@a-s---mn- αἰτιάομαι@v--pne--- ὁ@l-s---mn- αἰτιάομαι@v-sppemn- θεός@n-s---mg- γάρ@d-------- προθυμία@n-s---fa- ἀνθρώπινος@a-s---fd- πρόνοια@n-s---fd- ἀδύνατος@a-s---nn- κωλύω@v--pna--- φύω@v3sria--- γάρ@d-------- οὐ@d-------- ὁ@l-s---nn- κρείσσων@a-s---nnc ὑπό@r-------- ὁ@l-s---ng- ἥσσων@a-s---ngc κωλύω@v--pne--- ἀλλά@c-------- ὁ@l-s---nn- ἥσσων@a-s---nac ὑπό@r-------- ὁ@l-s---ng- κρείσσων@a-s---ngc ἄρχω@v--pne--- καί@c-------- ἄγω@v--pne--- καί@c-------- ὁ@l-s---na- μέν@d-------- κρείσσων@a-s---nac ἡγέομαι@v--pne--- ὁ@l-s---na- δέ@d-------- ἥσσων@a-s---nac ἕπομαι@v--pne--- θεός@n-s---mn- δέ@d-------- ἄνθρωπος@n-s---mg- κρείσσων@a-s---nnc καί@c-------- βία@n-s---fd- καί@c-------- σοφία@n-s---fd- καί@c-------- ὁ@l-p---nd- ἄλλος@p-p---nd- εἰ@c-------- οὖν@d-------- ὁ@l-s---fd- τύχη@n-s---fd- καί@c-------- ὁ@l-s---md- θεός@n-s---md- ὁ@l-s---fa- αἰτία@n-s---fa- ἀναθετέος@a-s---nn- ὁ@l-s---fa- ἑλένη@n-s---fa- ὁ@l-s---fg- δυσκλεία@n-s---fg- ἀπολυτέος@a-s---nn-"
"enc.Hel._7","εἰ@c-------- δέ@d-------- βία@n-s---fd- ἁρπάζω@v3saip--- καί@c-------- ἄνομος@d-------- βιάζω@v3saip--- καί@c-------- ἄδικος@d-------- ὑβρίζω@v3saip--- δῆλος@d-------- ὅτι@c-------- ὁ@l-s---mn- μέν@d-------- ἁρπάζω@v-sapamn- ὡς@c-------- ὑβρίζω@v-sapamn- ἀδικέω@v3saia--- ὁ@l-s---fn- δέ@c-------- ἁρπάζω@v-sappfn- ὡς@c-------- ὑβρίζω@v-sappfn- δυστυχέω@v3saia--- ἄξιος@a-s---mn- οὖν@d-------- ὁ@l-s---mn- μέν@d-------- ἐπιχειρέω@v-sapamn- βάρβαρος@n-s---mn- βάρβαρος@a-s---na- ἐπιχείρημα@n-s---na- καί@c-------- λόγος@n-s---md- καί@c-------- νόμος@n-s---md- καί@c-------- ἔργον@n-s---nd- λόγος@n-s---md- μέν@d-------- αἰτία@n-s---fg- νόμος@n-s---md- δέ@d-------- ἀτιμία@n-s---fg- ἔργον@n-s---nd- δέ@d-------- ζημία@n-s---fg- τυγχάνω@v--ana--- ὁ@l-s---fn- δέ@d-------- βιάζω@v-sappfn- καί@d-------- ὁ@l-s---fg- πατρίς@n-s---fg- στερέω@v-sappfn- καί@c-------- ὁ@l-p---mg- φίλος@n-p---mg- ὀρφανίζω@v-sappfn- πῶς@d-------- οὐ@d-------- ἄν@d-------- εἰκότως@d-------- ἐλεέω@v3saop--- μᾶλλον@d-------c ἤ1@c-------- κακολογέω@v3saop--- ὁ@l-s---mn- μέν@d-------- γάρ@d-------- δράω@v3saia--- δεινός@a-p---na- ὁ@l-s---fn- δέ@d-------- πάσχω@v3saia--- δίκαιος@a-s---nn- οὖν@d-------- ὁ@l-s---fa- μέν@d-------- οἰκτίρω@v--ana--- ὁ@l-s---ma- δέ@d-------- μισέω@v--ana---"
"enc.Hel._8","εἰ@c-------- δέ@d-------- λόγος@n-s---mn- ὁ@l-s---mn- πείθω@v-sapamn- καί@c-------- ὁ@l-s---fa- ψυχή@n-s---fa- ἀπατάω@v-sapamn- οὐ@d-------- δέ@d-------- πρός@r-------- οὗτος@p-s---na- χαλεπός@a-s---nn- ἀπολογέομαι@v--ane--- καί@c-------- ὁ@l-s---fa- αἰτία@n-s---fa- ἀπολύω@v--anm--- ὧδε@d-------- λόγος@n-s---mn- δυνάστης@n-s---mn- μέγας@a-s---mn- εἰμί@v3spia--- ὅς@p-s---mn- μικρός@a-s---nds σῶμα@n-s---nd- καί@c-------- ἀφανής@a-s---nds θεῖος@a-p---nas ἔργον@n-p---na- ἀποτελέω@v3spia--- δύναμαι@v3spie--- γάρ@d-------- καί@c-------- φόβος@n-s---ma- παύω@v--ana--- καί@c-------- λύπη@n-s---fa- ἀφαιρέω@v--ana--- καί@c-------- χαρά@n-s---fa- ἐνεργάζομαι@v--ane--- καί@c-------- ἔλεος@n-s---ma- ἐπαυξάνω@v--ana--- οὗτος@p-p---na- δέ@d-------- ὡς@c-------- οὕτως@d-------- ἔχω@v3spia--- δείκνυμι@v1sfia---"
"enc.Hel._9","δεῖ@v3spia--- δέ@d-------- καί@d-------- δείκνυμι@v--ana--- καί@c-------- δοκέω@v--ana--- ὁ@l-p---md- ἀκούω@v-pppamd- ὁ@l-s---fa- ποίησις@n-s---fa- ἅπας@a-s---fa- καί@d-------- νομίζω@v1spia--- καί@c-------- ὀνομάζω@v1spia--- λόγος@n-s---ma- ἔχω@v-sppama- μέτρον@n-s---na- ὅς@p-s---fg- ὁ@l-p---ma- ἀκούω@v-pppama- εἰσέρχομαι@v3saia--- καί@d-------- φρίκη@n-s---fn- περίφοβος@a-s---fn- καί@d-------- ἔλεος@n-s---nn- πολύδακρυς@a-s---mn- καί@c-------- πόθος@n-s---mn- φιλοπενθής@a-s---mn- ἐπί@r-------- ἀλλότριος@a-p---ng- τε@c-------- πρᾶγμα@n-p---ng- καί@c-------- σῶμα@n-p---ng- εὐπραγία@n-p---fd- καί@c-------- δυσπραγία@n-p---fd- ἴδιος@a-s---na- τις@a-s---na- πάθημα@n-s---na- διά@r-------- ὁ@l-p---mg- λόγος@n-p---mg- πάσχω@v3saia--- ὁ@l-s---fn- ψυχή@n-s---fn- φέρω@v2spma--- δή@d-------- πρός@r-------- ἄλλος@a-s---ma- ἀπό@r-------- ἄλλος@a-s---mg- μεθίστημι@v2spme--- λόγος@n-s---mg- λόγος@n-s---ma-"
"enc.Hel._10","ὁ@l-p---fn- γάρ@g-------- ἔνθεος@a-p---fn- διά@r-------- λόγος@n-p---mg- ἐπῳδή@n-p---fn- ἐπαγωγός@n-p---mn- ἡδονή@n-s---fg- ἀπαγωγός@a-p---fn- λύπη@n-s---fg- γίγνομαι@v3ppie--- συγγίγνομαι@v-sppefn- γάρ@d-------- ὁ@l-s---fd- δόξα@n-s---fd- ὁ@l-s---fg- ψυχή@n-s---fg- ὁ@l-s---fn- δύναμις@n-s---fn- ὁ@l-s---fg- ἐπῳδή@n-s---fg- θέλγω@v3saia--- καί@d-------- πείθω@v3saia--- καί@c-------- μεθίστημι@v3saia--- αὐτός@p-s---fa- γοητεία@n-s---fd- γοητεία@n-s---fg- δέ@d-------- καί@c-------- μαγεία@n-s---fg- δισσός@a-p---fn- τέχνη@n-p---fn- εὑρίσκω@v3prie--- ὅς@p-p---fn- εἰμί@v3ppia--- ψυχή@n-s---fg- ἁμάρτημα@n-p---nn- καί@c-------- δόξα@n-s---fg- ἀπάτημα@n-p---nn-"
