"location","text"
"Sophist._1","ἐπεί@c-------- τις@p-p---cn- ὁ@l-p---mg- καλέω@v-pppemg- σοφιστής@n-p---mg- ἱστορία@n-s---fg- μέν@d-------- καί@c-------- παιδεία@n-s---fg- ἀμελέω@v3pria--- καί@c-------- ὁ@l-s---ng- δύναμαι@v--pne--- λέγω3@v--pna--- ὅμοιος@d-------- ὁ@l-p---md- ἰδιώτης@n-p---md- ἄπειρος@d-------- ἔχω@v3ppia--- γράφω@v--pna--- δέ@d-------- μελετάω@v-prpamn- λόγος@n-p---ma- καί@c-------- διά@r-------- βιβλίον@n-p---ng- δείκνυμι@v-pppamn- ὁ@l-s---fa- ἑαυτοῦ@p-p---mg- σοφία@n-s---fa- σεμνύνω@v3ppie--- καί@d-------- μέγας@a-s---na- φρονέω@v3ppia--- καί@c-------- πολλοστός@a-s---na- μέρος@n-s---na- ὁ@l-s---fg- ῥητορικός@a-s---fg- κτάομαι@v-prpemn- δύναμις@n-s---fg- ὁ@l-s---fg- ὅλος@a-s---fg- τέχνη@n-s---fg- ἀμφισβητέω@v3ppia--- διά@r-------- οὗτος@a-s---fa- ὁ@l-s---fa- αἰτία@n-s---fa- ἐπιχειρέω@v1sfia--- κατηγορία@n-s---fa- ποιέω@v--anm--- ὁ@l-p---mg- γραπτός@a-p---mg- λόγος@n-p---mg-"
"Sophist._2","οὐ@d-------- ὡς@d-------- ἀλλότριος@a-s---fa- ἐμαυτοῦ@p1s---mg- ὁ@l-s---fa- δύναμις@n-s---fa- αὐτός@p-p---mg- ἡγέομαι@v-sppemn- ἀλλά@c-------- ὡς@d-------- ἐπί@r-------- ἕτερος@a-p---md- μέγας@a-s---nac φρονέω@v-sppamn- καί@c-------- ὁ@l-s---na- γράφω@v--pna--- ἐν@r-------- πάρεργον@n-s---nd- μελετάω@v--pna--- οἴομαι@v-sppemn- χρή@v--pna--- καί@c-------- ὁ@l-p---ma- ἐπί@r-------- αὐτός@a-s---na- οὗτος@a-s---na- ὁ@l-s---ma- βίος@n-s---ma- καταναλίσκω@v-pppama- ἀπολείπω@v--pne--- πολύς@a-s---na- καί@d-------- ῥητορικός@a-s---fg- καί@c-------- φιλοσοφία@n-s---fg- ὑπολαμβάνω@v-srpamn- καί@d-------- πολύς@a-s---na- δίκαιος@a-s---nac ἄν@d-------- ποιητής@n-p---ma- ἤ1@c-------- σοφιστής@n-p---ma- προσαγορεύω@v--pne--- νομίζω@v-sppamn-"
"Sophist._3","πρῶτος@a-s---na- μέν@d-------- οὖν@d-------- ἐντεῦθεν@d-------- ἄν@d-------- τις@p-s---mn- καταφρονέω@v3saoa--- ὁ@l-s---ng- γράφω@v--pna--- ἐκ@r-------- ὅς@p-p---ng- εἰμί@v3spia--- εὐεπίθετος@a-s---nn- καί@d-------- ῥᾴδιος@a-s---nn- καί@c-------- ὁ@l-s---fd- τυγχάνω@v-sapafd- φύσις@n-s---fd- πρόχειρον@a-s---nn- εἶπον@v--ana--- μέν@d-------- γάρ@d-------- ἐκ@r-------- ὁ@l-s---ng- παραυτίκα@d-------- περί@r-------- ὁ@l-s---ng- παρατυγχάνω@v-sapang- ἐπιεικής@d-------- καί@c-------- ταχύς@n-s---fd- χράω2@v--anm--- ὁ@l-p---ng- ἐπιχείρημα@n-p---ng- καί@c-------- ὁ@l-p---ng- ὄνομα@n-p---ng- εὐπορία@n-s---fd- καί@c-------- ὁ@l-s---md- καιρός@n-s---md- ὁ@l-p---ng- πρᾶγμα@n-p---ng- καί@c-------- ὁ@l-p---fd- ἐπιθυμία@n-p---fd- ὁ@l-p---mg- ἄνθρωπος@n-p---mg- εὔστοχος@d-------- ἀκολουθέω@v--ana--- καί@c-------- ὁ@l-s---ma- προσήκω@v-sppama- λόγος@n-s---ma- εἶπον@v--ana--- οὐ@d-------- τε@c-------- φύσις@n-s---fg- ἅπας@a-s---fg- οὐ@d-------- τε@c-------- παιδεία@n-s---fg- ὁ@l-s---fg- τυγχάνω@v-sapafg- εἰμί@v3spia---"
"Sophist._4","ἐν@r-------- πολύς@a-s---md- δέ@d-------- χρόνος@n-s---md- γράφω@v--ana--- καί@c-------- κατά@r-------- σχολή@n-s---fa- ἐπανορθόω@v--ana--- καί@d-------- παρατίθημι@v-sapmma- ὁ@l-p---na- ὁ@l-p---mg- προγίγνομαι@v-prpamg- σοφιστής@n-p---mg- σύγγραμμα@n-p---na- πολλαχόθεν@d-------- εἰς@r-------- ὁ@l-s---na- αὐτός@p-s---ma- βούλευμα@n-p---na- συναγείρω@v--ana--- καί@c-------- μιμέομαι@v--ane--- ὁ@l-p---fa- ὁ@l-p---ng- εὖ@d-------- λέγω3@v-pppeng- ἐπιτυχία@n-p---fa- καί@c-------- ὁ@l-p---na- μέν@d-------- ἐκ@r-------- ὁ@l-s---fg- ὁ@l-p---mg- ἰδιώτης@n-p---mg- συμβουλία@n-s---fg- ἐπανορθόω@v--ane--- ὁ@l-p---na- δέ@c-------- αὐτός@p-s---ma- ἐν@r-------- ἑαυτοῦ@p-s---md- πολλάκις@d-------- ἐπισκέπτομαι@v-sapmma- ἀνακαθαίρω@v--ana--- καί@c-------- μεταγράφω@v--ana--- καί@d-------- ὁ@l-p---nd- ἀπαίδευτος@a-p---md- ῥᾴδιος@a-s---nn- φύω@v3sria---"
"Sophist._5","εἰμί@v3spia--- δέ@d-------- ἅπας@a-p---nn- ὁ@l-p---nn- μέν@d-------- ἀγαθός@a-p---nn- καί@c-------- καλός@a-p---nn- σπάνιος@a-p---nn- καί@d-------- χαλεπός@a-p---nn- καί@c-------- διά@r-------- πόνος@n-p---mg- ἔθω@v-prpana- γίγνομαι@v--pne--- ὁ@l-p---nn- δέ@c-------- ταπεινός@a-p---nn- καί@c-------- φαῦλος@a-p---nn- ῥᾴδιος@a-s---fa- ἔχω@v3spia--- ὁ@l-s---fa- κτῆσις@n-s---fa- ὥστε@d-------- ἐπεί@c-------- ὁ@l-s---nn- γράφω@v--pna--- ὁ@l-s---ng- λέγω3@v--pna--- ἑτοῖμος@a-s---nnc ἐγώ@p1p---md- εἰμί@v3spia--- εἰκότως@d-------- ἄν@d-------- αὐτός@p-s---ng- καί@d-------- ὁ@l-s---fa- κτῆσις@n-s---fa- ἐλάσσων@a-s---ngc ἀξία@a-s---fa- νομίζω@v1ppoa---"
"Sophist._6","ἔπειτα@d-------- ὁ@l-p---md- μέν@d-------- λέγω3@v--pna--- δεινός@a-p---nd- οὐδείς@p-s---mn- ἄν@d-------- φρονέω@v-sppamn- ἀπιστέω@v3saoa--- ὡς@c-------- οὐ@d-------- μικρός@a-s---na- ὁ@l-s---fa- ὁ@l-s---fg- ψυχή@n-s---fg- ἕξις@n-s---fa- μεταρρυθμίζω@v-papamn- ἐπιεικής@d-------- λογογραφέω@v3pfia--- ὁ@l-p---md- δέ@d-------- γράφω@v--pna--- ἀσκέω@v-pppmmd- οὐδείς@p-s---mn- ἄν@d-------- πιστεύω@v3saoa--- ὡς@c-------- ἀπό@r-------- ὁ@l-s---fg- αὐτός@p-s---fg- δύναμις@n-s---fg- καί@d-------- λέγω3@v--pna--- οἷος@a-p---mn- τε@p-p---na- εἰμί@v3pfim--- ὁ@l-p---ma- μέν@d-------- γάρ@d-------- ὁ@l-p---na- χαλεπός@a-p---na- ὁ@l-p---ng- ἔργον@n-p---ng- ἐπιτελέω@v-pppama- εἰκός@v-srpann- ὅταν@c-------- ἐπί@r-------- ὁ@l-p---na- ῥαίω@n-------- ὁ@l-s---fa- γνώμη@n-s---fa- μεθίστημι@v3pasa--- εὔπορος@d-------- μεταχειρίζω@v--anm--- ὁ@l-s---fa- ὁ@l-p---ng- πρᾶγμα@n-p---ng- ἀπεργασία@n-s---fa- ὁ@l-p---md- δέ@d-------- ὁ@l-p---na- ῥαίδιος@n-p---na- γυμνάζω@v-prpemd- ἀντίτυπος@a-s---fn- καί@c-------- προσάντης@n-s---fn- ὁ@l-s---fn- ὁ@l-p---mg- χαλεπός@a-p---mgc ἐπιμέλεια@n-s---fn- καθίστημι@v3spie--- γιγνώσκω@v3saoa--- δέ@d-------- ἄν@d-------- τις@p-s---mn- ἐκ@r-------- ὅδε@a-p---ng- ὁ@l-p---ng- παράδειγμα@n-p---ng-"
"Sophist._7","ὁ@l-s---mn- μέν@d-------- γάρ@d-------- αἴρω@v--ana--- μέγας@a-s---na- φορτίον@n-s---na- δύναμαι@v-sppemn- ἐπί@r-------- ὁ@l-p---na- κοῦφος@a-p---na- μετέρχομαι@v-sapamn- ῥᾴδιος@d-------- μεταχειρίζω@v3saom--- ἄν@d-------- ὁ@l-s---mn- δέ@d-------- πρός@r-------- ὁ@l-p---na- κοῦφος@n-p---na- ὁ@l-s---fd- δύναμις@n-s---fd- διήκω@v-sppemn- οὐδείς@p-s---na- ἄν@d-------- ὁ@l-p---ng- βαρύς@a-p---ng- οἷος@a-s---mn- τε@a-s---na- εἰμί@v3spoa--- φέρω@v--pna--- καί@c-------- πάλιν@d-------- ὁ@l-s---mn- μέν@d-------- ποδώκης@a-s---mn- δρομεύς@n-s---mn- ῥᾴδιος@d-------- παρέπομαι@v--pne--- ὁ@l-p---md- βραδύς@a-p---mdc δύναμαι@v3spoe--- ἄν@d-------- ὁ@l-s---mn- δέ@g-------- βραδύς@a-s---mn- οὐ@d-------- ἄν@g-------- οἷος@a-s---mn- τε@c-------- εἰμί@v3spoa--- ὁ@l-p---md- θάσσιος@a-p---mdc ὁμοδρομέω@v--pna--- ἔτι@d-------- δέ@d-------- πρός@r-------- οὗτος@p-p---nd- ὁ@l-s---mn- μέν@d-------- ὁ@l-p---na- πρόσω@d-------- δύναμαι@v-sppemn- ἐπίσκοπος@d-------- ἀκοντίζω@v--pna--- ἤ1@c-------- τοξεύω@v--pna--- καί@d-------- ὁ@l-p---ng- ἐγγύς@d-------- τυγχάνω@v3sfim--- ῥᾴδιος@d-------- ὁ@l-s---mn- δέ@d-------- ὁ@l-p---na- πλησίος@d-------- βάλλω@v--pna--- ἐπίσταμαι@v-sppemn- οὔπω@d-------- δῆλος@a-s---nn- εἰ@c-------- καί@d-------- ὁ@l-p---mg- πρόσω@d-------- δύναμαι@v3sfim--- τυγχάνω@v--pna---"
"Sophist._8","ὁ@l-s---ma- αὐτός@a-s---ma- δή@d-------- τρόπος@n-s---ma- καί@d-------- περί@r-------- ὁ@l-p---ma- λόγος@n-p---ma- ὁ@l-s---mn- μέν@d-------- ἐκ@r-------- ὁ@l-s---ng- παραυτίκα@d-------- καλός@d-------- αὐτός@p-p---nd- χράομαι@v-sppemn- οὐ@d-------- ἄδηλος@a-s---nn- ὅτι@c-------- μετά@r-------- χρόνος@n-s---mg- καί@c-------- σχολή@n-s---fg- ἐν@r-------- ὁ@l-s---nd- γράφω@v--pna--- διαφέρω@v-sppamn- εἰμί@v3sfim--- λογοποιός@n-s---mn- ὁ@l-s---mn- δέ@d-------- ἐπί@r-------- ὁ@l-s---ng- γράφω@v--pna--- ὁ@l-p---fa- διατριβή@n-p---fa- ποιέω@v-sppemn- οὐ@d-------- ἀφανής@a-s---nn- ὅτι@c-------- μεταβαίνω@v-sapamn- ἐπί@r-------- ὁ@l-p---ma- αὐτοσχεδιαστικός@a-p---ma- λόγος@n-p---ma- ἀπορία@n-s---fg- καί@d-------- πλάνος@n-s---mg- καί@c-------- ταραχή@n-s---fg- ἔχω@v3sfia--- πλήρης@a-s---fa- ὁ@l-s---fa- γνώμη@n-s---fa-"
"Sophist._9","ἡγέομαι@v1spie--- δέ@d-------- καί@d-------- ὁ@l-s---md- βίος@n-s---md- ὁ@l-p---mg- ἄνθρωπος@n-p---mg- ὁ@l-s---na- μέν@d-------- λέγω3@v--pna--- ἀεί@d-------- τε@c-------- καί@c-------- διά@r-------- πᾶς@a-s---ng- χρήσιμος@a-s---na- εἰμί@v--pna--- ὁ@l-s---ng- δέ@c-------- γράφω@v--pna--- ὀλιγάκις@d-------- εὔκαιρος@a-s---fa- ὁ@l-s---fa- δύναμις@n-s---fa- αὐτός@p-s---md- καθίστημι@v--pne--- τις@p-s---mn- γάρ@d-------- οὐ@d-------- οἶδα@v3sria--- ὅτι@c-------- λέγω3@v--pna--- μέν@d-------- ἐκ@r-------- ὁ@l-s---ng- παραυτίκα@d-------- καί@d-------- δημηγορέω@v-pppamd- καί@d-------- δικάζω@v-pppemd- καί@c-------- ὁ@l-p---fa- ἴδιος@a-p---fa- ὁμιλία@n-p---fa- ποιέω@v-pppamd- ἀναγκαῖος@a-s---nn- εἰμί@v3spia--- καί@c-------- πολλάκις@d-------- ἀπροσδόκητος@d-------- καιρός@n-p---mn- πρᾶγμα@n-p---ng- παραπίπτω@v3ppia--- ἐν@r-------- ὅς@p-p---md- ὁ@l-p---mn- μέν@d-------- σιωπάω@v-pppamn- εὐκαταφρόνητος@a-p---mn- δοκέω@v3pfia--- εἰμί@v--pna--- ὁ@l-p---ma- δέ@c-------- λέγω3@v-pppama- ὡς@d-------- ἰσόθεος@a-s---fa- ὁ@l-s---fa- γνώμη@n-s---fa- ἔχω@v-pppama- ὑπό@r-------- ὁ@l-p---mg- ἄλλος@p-p---mg- τιμάω@v-pppema- ὁράω@v1ppia---"
"Sophist._10","ὅταν@c-------- γάρ@d-------- νουθετέω@v--ana--- δέω@v3spsa--- ὁ@l-p---ma- ἁμαρτάνω@v-pppama- ἤ1@d-------- παραμυθέομαι@v--anm--- ὁ@l-p---ma- δυστυχέω@v-pppama- ἤ1@d-------- πραύνω@v--ana--- ὁ@l-p---ma- παροξύνω@v-prpema- ἤ1@c-------- ὁ@l-p---fa- ἐξαίφνης@d-------- ἐπιφέρω@v-pappfa- αἰτία@n-p---fa- ἀπολύω@v--anm--- τηνικαῦτα@d-------- ὁ@l-s---fn- ὁ@l-s---ng- λέγω3@v--pna--- δύναμις@n-s---fn- ὁ@l-s---fd- χρεία@n-s---fd- ὁ@l-p---mg- ἄνθρωπος@n-p---mg- ἐπίἐπικουρέω@v--pna--- οἷος@p-p---nn- τε@p-p---na- εἰμί@v3spia--- ὁ@l-s---fn- δέ@d-------- γραφή@n-s---fn- σχολή@n-s---fg- δέω@v3spie--- καί@c-------- μακρός@a-p---mac ποιέω@v3spie--- ὁ@l-p---ma- χρόνος@n-p---ma- ὁ@l-p---mg- καιρός@n-p---mg- ὁ@l-p---mn- μέν@d-------- γάρ@d-------- ταχύς@a-s---fa- ὁ@l-s---fa- ἐπικουρία@n-s---fa- ἐπί@r-------- ὁ@l-p---mg- ἀγών@n-p---mg- ἀπαιτέω@v3ppia--- ὁ@l-s---fn- δέ@c-------- κατά@r-------- σχολή@n-s---fa- καί@d-------- βραδύς@d-------- ἐπιτελέω@v3spia--- ὁ@l-p---ma- λόγος@n-p---ma- ὥστε@d-------- τις@p-s---mn- ἄν@d-------- φρονέω@v-sppamn- οὗτος@a-s---fa- ὁ@l-s---fa- δύναμις@n-s---fa- ζηλόω@v3saoa--- ὅς@p-s---fn- ὁ@l-p---mg- καιρός@n-p---mg- τοσοῦτος@p-s---na- ἀπολείπω@v3spie---"
