"location","text"
"Sch.Pind.Pyth._1.1","a@i-------- χρύσεος@a-s---fn- φόρμιγξ@n-s---fn- τις@p-p---mn- χρύσεος@a-s---fa- ὑπισχνέομαι@v--anm--- κιθάρα@n-s---fa- ὁ@l-s---ma- ἱέρων@n-s---ma- ὁ@l-s---md- πίνδαρος@n-s---md- διό@d-------- καί@d-------- ὁ@l-s---mn- ποιητής@n-s---mn- ὑπομιμνήσκω@v-sppamn- αὐτός@p-s---ma- ὁ@l-s---fg- ἐπαγγελία@n-s---fg- ἀπό@r-------- ὁ@l-s---fg- κιθάρα@n-s---fg- ἄρχω@v3saim--- ὁ@l-s---ng- προοίμιον@n-s---ng- b@x-------- χρύσεος@a-s---fn- δέ@d-------- κιθάρα@n-s---fn- ἀντί@r-------- ὁ@l-s---ng- τίμιος@a-s---fn- ὡς@c-------- χρύσεος@a-s---fn- ἀφροδίτη@n-s---fn- χ@n-------- 471@n--------"
"Sch.Pind.Pyth._1.3","a@i-------- σύνδικος@a-s---nn- μοῖρα@n-p---mg- κτείνω@n-s---nn- συνῳδός@a-s---nn- οἱονεί@d-------- οὐ@d-------- ἐναντίον@a-s---nn- ὁ@l-s---mn- δέ@d-------- ἀπολλώνιος@n-s---mn- σύντροπος@a-s---ma- ἀκούω@v3saia--- δίκη@n-s---fn- γάρ@d-------- ὁ@l-s---mn- τρόπος@n-s---mn- ὡς@c-------- καί@c-------- ὅμηρος@n-s---mn- ὁ@l-s---nn- 43@n-------- οὗτος@a-s---fn- σύ@g-------- δίκη@n-s---fn- εἰμί@v3spia--- b@x-------- οὐ@d-------- μάτην@d-------- δέ@d-------- αὐτός@p-s---md- παραρριπτέω@v3srie--- ὁ@l-s---nn- ἀπόλλων@n-s---mg- κτῆμα@n-s---nn- εἶπον@v--ana--- ὁ@l-s---fa- κιθάρα@n-s---fa- ἀντί@r-------- γάρ@d-------- ὁ@l-s---fg- ὁ@l-p---fg- βοῦς@n-p---fg- κλοπή@n-s---fg- παρά@r-------- ἑρμῆς@n-s---mg- πρῶτος@a-s---mn- κτάομαι@v3saim--- ὁ@l-s---na- ὄργανον@n-s---na- ὁ@x-------- ἤ1@d-------- ἀπόλλων@n-s---mg- διά@r-------- ὁ@l-s---na- ὁ@l-s---ma- ἀπόλλων@n-s---ma- προκατάρχω@v--pna--- ὁ@l-s---mg- χορός@n-s---mg- ὁ@l-p---fg- μοῦσα@n-p---fg- διά@x-------- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- χρύσεος@a-s---fn- κιθάρα@n-s---fn- καί@c-------- ὁ@l-s---mg- ἀπόλλων@n-s---mg- κτῆμα@n-s---na- καί@c-------- ὁ@l-p---fg- μελανοπλόκαμος@a-p---fg- μοῦσα@n-p---fg- συνῳδός@a-s---na- καί@c-------- σύντροπος@a-s---na- παρόσον@c-------- ὁ@l-s---mn- μέν@d-------- ἀπόλλων@n-s---mn- ὁ@l-s---fd- κιθάρα@n-s---fd- ὁ@l-p---fg- ᾠδή@n-p---fg- προκαθηγέομαι@v3spie--- ὁ@l-p---fg- μοῦσα@n-p---fg- οὗτος@p-p---fn- δέ@c-------- χορεύω@v3ppia---"
"Sch.Pind.Pyth._1.4","a@i-------- ὁ@l-s---fg- ἀκούω@v3spia--- μέν@d-------- βάσις@n-s---fn- βάσις@n-s---fa- ἔνιοι@a-p---mn- ὁ@l-s---ma- ῥυθμός@n-s---ma- πρός@r-------- γάρ@d-------- ῥυθμός@n-s---ma- ὁ@l-s---fn- ἁρμονία@n-s---fn- ὁ@l-p---ng- μέλος@n-p---ng- διατυπόω@v3spie--- ὁ@p-p---mn- δέ@g-------- ὁ@l-s---fa- ὁ@l-p---mg- πούς@n-p---mg- κρούω@v3ppia--- προκατάρχω@v3ppie--- γάρ@d-------- ὁ@l-p---fn- ἀοιδή@n-p---fn- παρά@r-------- ὁ@l-s---fg- κιθάρα@n-s---fg- εἶτα@d-------- οὕτως@d-------- ἕπομαι@v3spie--- ὁ@l-s---mn- ὁ@l-p---mg- χορευτής@n-p---mg- ῥυθμός@n-s---mn- b@x-------- ἤ1@c-------- βάσις@n-s---fn- ὁ@l-s---mn- ῥυθμός@n-s---mn- παρά@r-------- ὁ@l-s---na- βαίνω@v--pna--- εἰς@r-------- ὁ@l-s---ma- ῥυθμός@n-s---ma- ὁ@l-p---md- κρούω@v-pppamd- ὁ@l-s---fa- γῆ@n-s---fa- ὁ@l-p---md- πούς@n-p---md- ὁ@x-------- ἀγλαία@n-s---fg- ἀρχή@n-s---fn- ἀμφίβολος@a-s---nn- πότερον@a-s---na- ὁ@l-s---fn- βάσις@n-s---fn- ἀγλαία@n-s---fg- ἀρχή@n-s---fn- εἰμί@v-sppafn- ἤ1@c-------- σύ@p-s---fn- ὦ@i-------- κιθάρα@n-s---fn- ἀγλαία@a-s---fg- τυγχάνω@v2spia--- ἀρχή@n-s---fn- καί@d-------- ἐντεῦθεν@d-------- δέ@d-------- ἄδηλος@a-s---nn- ἤτοι@c-------- ἀγλαία@n-s---fa- ὁ@l-s---fa- κατά@r-------- ὁ@l-p---fa- πανήγυρις@n-p---fa- φημί@v3spia--- κατά@r-------- ὅς@p-s---fa- πᾶς@a-p---mn- γάνυμαι@v-pppemn- τέρπω@v1ppie--- ἤ1@c-------- ἀγλαία@n-s---fa- ὁ@l-s---fa- διάχυσις@n-s---fa- καί@c-------- εὐφροσύνη@n-s---fa- διά@x-------- ἄλλως@d-------- ἀγλαία@n-s---fg- ἀρχή@n-s---fa- ὁ@l-s---fa- ἀρχή@n-s---fa- καί@c-------- ὁ@l-p---fa- προανακόσμησις@n-p---fa-"
"Sch.Pind.Pyth._1.5","a@i-------- πείθω@v3ppie--- δέ@d-------- ἀοιδός@n-p---mn- σάμα@n-p---nd- ἀοιδός@n-p---mn- ἤτοι@d-------- ἐν@r-------- ὁ@l-s---nd- καθόλου@d-------- ἤ1@c-------- ἐπί@r-------- ὁ@l-p---fg- μοῦσα@n-p---fg- ὁ@l-s---mn- λόγος@n-s---mn- ὡς@c-------- γάρ@d-------- φημί@v1siia--- ἀπόλλων@n-s---mn- μέν@d-------- προκατάρχω@v3spia--- ὁ@l-p---ng- κροῦμα@n-p---ng- πρός@r-------- δέ@c-------- ὁ@l-p---na- κροῦμα@n-p---na- εὔρυθμος@d-------- ὁ@l-p---fn- μοῦσα@n-p---fn- χορεύω@v3ppia--- b@x-------- σάμα@v3ppia--- σημεῖον@n-p---nd- ὁ@l-p---nd- σύνθημα@n-p---nd- ὁ@x-------- ἤ1@c-------- ὁ@l-p---nd- κέλευμα@n-p---nd- ἀπό@r-------- ὁ@l-s---ng- σημαίνω@v--ana--- διά@r-------- ὁ@l-s---fg- πρό προανακόλυσις@n-s---fg- διά@x-------- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- ὅς@p-s---fg- σύ@a-s---mg- ὦ@i-------- κιθάρα@n-s---fv- κατακούω@v3spia--- μέν@d-------- ὁ@l-s---fn- ὁ@l-p---mg- πούς@n-p---mg- κροῦσις@n-s---fn- ὁ@l-s---fg- εὐφροσύνη@n-s---fg- καί@c-------- διάχυσις@n-s---fg- ἀρχή@n-s---fn- εἰμί@v-sppafn- πείθω@v3ppie--- δέ@d-------- καί@d-------- ὁ@l-p---mn- ἀοιδός@n-p---mn- ὁ@l-p---nd- σός@a-p---md- σύνθημα@n-p---nd- ὅταν@c-------- ὁ@l-p---ng- προοίμιον@n-p---ng- ὁ@l-p---ng- ἡγέομαι@v-pppmmg- ὁ@l-p---mg- χορός@n-p---mg- ὁ@l-p---fa- προαναφωνέω@n-p---fa- καί@c-------- κρούω@n-p---fa- κατασκευάζω@v2spsa--- διακινέω@v-sppefn-"
"Sch.Pind.Pyth._1.7","a@i-------- ἀμβολή@n-p---fa- ὁ@l-p---fa- προαναφωνέω@v2sfia--- ὡς@c-------- καί@d-------- ὅμηρος@n-s---mn- α@x-------- 155@n-------- εἰμί@d-------- ὅς@p-s---mn- φορμίζω@v-sppamn- ἀναβάλλω@v3siie--- καλός@a-s---ma- ἀείδω@v--pna--- b@x-------- ἐλελίζω@v-sppefn- δέ@d-------- ἤ1@c-------- διακινέω@v-sppefn- ἤ1@c-------- διακρούω@v-sppefn-"
"Sch.Pind.Pyth._1.8","κεραυνός@n-s---ma- σβέννυμι@v2spia--- κατά@r-------- ὁ@l-s---na- ἐναντίον@a-s---na- προάγω@v3saia--- δεῖ@v3siia--- γάρ@g-------- εἶπον@v--ana--- κεραυνός@n-s---mg- πῦρ@n-s---na- ὁ@l-s---nn- δέ@d-------- τοιοῦτος@a-s---nn- σχῆμα@n-s---nn- ὁ@l-s---mg- λόγος@n-s---mg- καί@d-------- παρά@r-------- ὅμηρος@n-s---md- δ@n-------- 535@n-------- ὁ@p-s---mn- δέ@g-------- χάζω@v-sapmmn- πελεμίγνυμι@v3saip--- πελεμίγνυμι@v-sappmn- γάρ@d-------- ἀναχωρέω@v3saia---"
"Sch.Pind.Pyth._1.9","a@i-------- ἀένναος@a-s---nn- κύριος@d-------- ἐπί@r-------- ὁ@l-p---ng- ὕδωρ@n-p---ng- τίθημι@v3spie--- καταχρηστικός@d-------- δέ@c-------- ὁ@l-s---mn- πίνδαρος@n-s---mn- νῦν@d-------- ἐπί@r-------- ὁ@l-s---mg- κεραυνός@n-s---mg- τάσσω@v3spia--- ἀντί@r-------- ὁ@l-s---ng- ἄσβεστος@a-s---ma- b@x-------- σκάπτω@v3spia--- δέ@d-------- δωρικός@n-s---mg- ὁ@l-s---nd- σκῆπτρον@n-s---nd-"
"Sch.Pind.Pyth._1.10","a@i-------- ζεύς@n-s---mg- ἀετός@n-s---mn- πάνυ@d-------- γάρ@d-------- διατυπόω@v3saia--- ὅτι@c-------- δή@d-------- ὁ@l-s---mn- ἀετός@n-s---mn- ἐπίκάθημαι@v-sppmmn- ὁ@l-s---nd- ὁ@l-s---mg- ζεύς@n-s---mg- σκῆπτρον@n-s---nd- καί@c-------- κατακηλέω@v-sppemn- ὁ@l-p---fd- μουσική@a-p---fd- ἀοιδή@n-p---fd- εἰς@r-------- ὕπνος@n-s---ma- κατάγω@v3spie--- ἀμφότερος@a-p---fa- χαλάω@v-sapamn- ὁ@l-p---fa- πτέρυξ@n-p---fa- καί@d-------- ταλαντεύω@v-sppemn- καί@c-------- ζυγοστατέω@v-sppemn- ὥσπερ@c-------- διά@r-------- ὁ@l-s---fa- ὁ@l-s---ng- σκῆπτρον@n-s---ng- στενότης@n-s---fa- ὥστε@c-------- αὐτός@p-s---md- μή@d-------- ἐξολισθάνω@v--pna--- ὁ@l-s---fd- ἀοιδή@n-s---fd- ἀλλά@c-------- ἀσφαλής@a-s---fa- ὁ@l-s---fa- βάσις@n-s---fa- ὑπάρχω@v--pna--- ὁ@l-s---fn- δέ@d-------- σαπφώ@n-s---fn- fr@x-------- 16@d-------- ἐπί@r-------- ὁ@l-s---ng- ἐναντίος@a-s---ng- ἐπί@r-------- ὁ@l-p---fg- περιστερά@n-p---fg- ὁ@p-p---fd- ψυχρός@a-s---mn- μέν@g-------- γίγνομαι@v3saie--- θυμός@n-s---mn- παρά@r-------- δέ@g-------- ἵημι@n-p---md- ὁ@l-p---nn- πτερόν@n-p---nn- b@x-------- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- καί@d-------- ὁ@l-s---ma- ἰσχυρός@a-s---ma- καί@c-------- πολεμικός@a-s---mas κεραυνός@n-s---ma- σβέννυμι@v2spia--- ὁ@l-s---ng- διαπαντός@a-s---mn- εἰμί@v-sppang- πῦρ@n-s---ng- ἀφυπνόω@v3spia--- δέ@d-------- ὁ@l-s---fd- ἡδονή@n-s---fd- συγκλείω@v-sappmn- ἐπί@r-------- ὁ@l-s---ng- σκῆπτρον@n-s---ng- ὁ@l-s---mg- ζεύς@n-s---mg- ὁ@l-s---mn- ἀετός@n-s---mn- ὁ@l-s---fa- ταχύς@a-s---fa- ἑαυτοῦ@p-s---mg- πτέρυξ@n-s---fa- ἐκ@r-------- ἀμφότερος@a-p---ng- ὁ@l-p---ng- μέρος@n-p---ng- χαλάω@v-sapamn- ὁ@l-s---mn- ὁ@l-p---mg- ὄρνεον@n-p---ng- βασιλεύς@n-s---mn-"
"Sch.Pind.Pyth._1.13","a@i-------- κελαινῶπις@n-s---fa- νεφέλη@n-s---mv- ἤτοι@d-------- κατά@r-------- αὐτός@p-s---fg- ὁ@l-s---fg- νεφέλη@n-s---fg- ὁ@l-s---nn- ἐπίθετον@n-s---nn- ἵνα@c-------- σωματικός@a-s---nac ἀναπλάζω@v3sasa--- ὁ@l-s---fa- νεφέλη@n-s---fa- ὁ@l-s---fa- μέλας@a-p---ma- ἔχω@v-sppafa- ὀφθαλμός@n-p---ma- ὅς@l-s---fn- ὁ@l-s---fa- μέλας@v-sppafa- ὁ@l-p---ma- ὀφθαλμός@n-p---ma- νεφέλη@n-s---fa- b@x-------- ἄλλως@d-------- κελαινῶπις@a-s---fa- νεφέλη@a-s---fa- ὁ@l-s---fa- ἐπίχυσις@n-s---fa- ὁ@l-s---mg- ὕπνος@n-s---mg- φημί@v3spia--- ὁ@x-------- ἄλλως@d-------- ἀντί@r-------- ὁ@l-s---ng- ὕπνος@n-s---ma- παρόσον@a-s---ma- ἀφεγγής@n-s---mn- εἰμί@v3spia--- καταχεύω@v2saia--- ὦ@i-------- κιθάρα@n-s---fv- ἁπαλός@a-s---nn- καί@c-------- ἡδύς@a-s---nn- κλεῖθρον@n-s---nn- κατά@r-------- ὁ@l-p---ng- βλέφαρον@n-p---ng-"
"Sch.Pind.Pyth._1.15","a@i-------- ἀγκύλος@a-s---fd- κράς@n-s---fd- ὁ@l-s---fd- ἐπικαίω@v-srpefd- κεφαλή@n-s---fd- ὁ@l-s---mg- ἀετός@n-s---mg- οὕτως@d-------- δέ@d-------- εἶπον@v3saia--- διά@r-------- ὁ@l-s---na- ῥάμφος@n-s---na- αὐτός@p-s---mg- καί@d-------- ὅμηρος@n-s---mn- ὁ@n-------- 538@n-------- ἀγκυλοχείλης@v2saop--- b@x-------- ὁ@l-s---nn- δέ@d-------- κλαῖστρον@n-s---nn- ἀντί@r-------- ὁ@l-s---ng- κλεῖθρον@n-s---nn-"
