"location","text"
"Sch.Pind.Nem._1.1","a@i-------- ἄμπνευμα@n-s---mn- ἀνάπνευμα@n-s---nn- καί@c-------- ἀναπνοή@n-s---fn- ἔνιοι@a-p---mn- δέ@d-------- ἀναφύσημα@n-s---na- ἀπό@r-------- γάρ@d-------- κατάδυσις@n-p---fg- ἀφανής@a-p---fg- εἰς@r-------- ὁ@l-s---fa- ἀρέθουσα@n-s---fa- ἀναφαίνω@v3spie--- ὁ@l-s---nn- δέ@d-------- ἀνάπαυμα@n-s---nn- ἐπί@r-------- ὁ@l-s---fg- ἐρωτικός@a-s---fg- σπουδή@n-s---fg- ἐπί@r-------- ὁ@l-s---mg- ποταμός@n-s---mg- τάσσω@v3spia--- ἵστημι@v3saia--- γάρ@d-------- κατά@r-------- ὀρτυγία@n-s---fa- ὁ@l-s---fa- νῆσος@n-s---fa- ὁ@l-s---fn- δέ@d-------- ὀρτυγία@n-s---fn- πρότερος@a-s---na- μέν@d-------- εἰμί@v-sppafn- νῆσος@n-s---fn- εἶτα@d-------- προσχωστάζω@v-sappfn- χερσόνησος@n-s---fn- γίγνομαι@v3sria--- ὡς@c-------- καί@d-------- ἴβυκος@n-s---mn- ἱστορέω@v3spia--- fr@n-------- 22@x-------- παρά@r-------- χέρσος@n-s---fa- λίθινος@a-s---ma- ἔκλεκτος@a-s---fa- παλάμη@n-p---fd- βροτός@n-p---mg- πρόσθεν@d-------- νιν@p-s---ma- παῖς@n-s---ma- νήριτον@a-s---ma- ἰχθύς@n-p---mn- ὠμοφάγος@a-p---mn- νέμω@v3piie--- σεμνός@a-s---na- δέ@d-------- λέγω@v3saia--- ἤτοι@d-------- ὅτι@c-------- οὐ@d-------- τυγχάνω@v3saia--- ὁ@l-s---fg- συνουσία@n-s---fg- ὁ@l-s---mn- ἀλφειός@n-s---mn- ἤ1@c-------- διά@r-------- ὁ@l-s---na- καθαρός@a-s---na- ὡς@c-------- εὐριπίδης@n-s---mn- μεd@n-------- θάσσω@v3pfia--- σεμνός@a-s---na- ἀμφί@r-------- πειρήνη@n-s---fg- ὕδωρ@n-s---na- b@x-------- ἄλλως@d-------- ἄμπνευμα@n-s---mv- οἷος@p-s---na- ἀναπνοή@n-s---fn- διά@r-------- ὁ@l-s---na- ἀπορρώξ@n-s---ma- καί@c-------- οἷος@a-s---na- στόμα@n-s---na- εἰμί@v--pna--- ὁ@l-s---mg- ἀλφειός@n-s---mg- ὁ@l-s---fa- αὐτόθι@d-------- ἀρέθουσα@n-s---fa- ὅς@p-s---fn- εἰμί@v3spia--- κρήνη@n-s---fn- ὥστε@c-------- καί@d-------- ὁ@l-s---na- σημαίνω@v-sppena- εἰμί@v--pna--- τοιοῦτος@p-s---ma- ὦ@i-------- ὀρτυγία@n-s---mv- ἐν@r-------- ὅς@p-s---md- εἰμί@v3spia--- ὁ@l-s---nn- ὁ@l-s---mg- ἀλφειός@n-s---mg- ἀνάπνευμα@n-s---nn- τις@p-s---cn- ὁ@l-s---fn- ἀρέθουσα@n-s---fn- ἀλλά@d-------- οὐ@d-------- ὁ@l-s---fa- ἀρέθουσα@n-s---fa- ἐρῶ@v3sria--- ἄμπνευμα@n-s---na- ἀλλά@c-------- ὁ@l-s---fa- ορτυγία@n-s---fa- ἐν@r-------- ὅς@p-s---fd- ὁ@l-s---mn- ἀλφειός@n-s---mn- ἀναπνέω@v3spia--- ὁ@l-s---nd- περιέχω@v--pna--- ὁ@l-s---fa- ἀρέθουσα@n-s---fa-"
"Sch.Pind.Nem._1.2","a@i-------- θάλος@n-s---nn- ὀρτυγία@n-s---fn- ὀρτυγία@n-s---fn- νῆσος@n-s---fn- πρό@r-------- ὁ@l-p---mg- συρακούς@n-s---mg- σός@a-p---mg- εἰς@r-------- ὅς@p-s---fa- διά@r-------- πέλαγος@n-s---ng- φέρω@v-sppemn- ὁ@l-s---mn- ἀλφειός@n-s---mn- ἐμβάλλω@v3spia--- καί@c-------- ποιέω@v3spia--- ὁ@l-s---fa- ἀρέθουσα@n-s---fa- κρήνη@n-s---fa- b@x-------- ἄλλως@d-------- κατά@r-------- μέν@d-------- ὁ@l-s---fa- ἱστορία@n-s---fa- οὐ@d-------- οὗτος@a-s---fn- ὁ@l-s---fn- ὀρτυγία@n-s---fn- κατά@r-------- ὅς@p-s---fa- ὁ@l-s---fn- λητώ@n-s---fn- ὁ@l-s---fa- ἄρτεμις@n-s---fa- ἀποτεκεῖν@v3saia--- ἀλλά@c-------- περί@r-------- ἔφεσος@n-s---fa- ἕτερος@a-s---fn- πλησίος@d-------- ὁ@l-s---fg- σικελία@n-s---fg- ὅς@p-s---fa- χερσόνησος@a-s---fa- ὁ@l-p---fg- συρακοῦσαι@n-p---fg- φημί@v1piia--- γίγνομαι@v--rne--- καί@c-------- αὐτός@p-s---fa- ἱερός@n-s---fa- ὁ@l-s---fg- ἄρτεμις@n-s---fg- διά@r-------- ὁ@l-s---fa- πρός@r-------- δῆλος@n-s---fa- ὁμωνυμία@n-s---fa- ὅς@p-p---na- χαρίζω@v-pppefn- ὁ@l-s---fd- θεός@n-s---fd- ὁ@l-p---fn- νύμφη@n-p---fn- καί@d-------- πηγή@n-s---fa- ποιέω@v3pria--- ὄνομα@n-s---nd- ἀρέθουσα@n-s---fa- ἐν@r-------- οὗτος@a-s---fd- ὁ@l-s---fd- νῆσος@n-s---fd- ἐκ@r-------- ὅς@p-s---fg- οὐ@d-------- τε@d-------- ἀρύω@v--anm--- οὐ@d-------- τε@c-------- ἰχθύς@n-p---ma- λαμβάνω@v--pna--- νόμος@n-s---mn-"
"Sch.Pind.Nem._1.3","δέμνιον@n-s---na- ἄρτεμις@n-s---fg- ὁ@l-s---mn- μέν@d-------- ἀρίσταρχος@n-s---mn- ὁ@l-s---fa- ὀρτυγία@n-s---fa- ἀκούω@v3spia--- διά@r-------- ὁ@l-s---na- κατά@r-------- ἔνιοι@a-p---ma- αὐτόθι@d-------- δοκέω@v--pna--- αὐτός@p-s---fa- γεννάω@v--rne--- προστίθημι@v3saoa--- δέ@d-------- ἄν@d-------- τις@p-s---mn- ὅτι@c-------- συνήθης@d-------- ὁ@l-s---mn- πίνδαρος@n-s---mn- ὁ@l-p---nd- ὁμώνυμος@a-p---nd- χωρίον@n-p---nd- ἐπιτίθημι@v3spia--- καί@d-------- ὁ@l-p---na- ἐπί@r-------- ὁ@l-p---nd- ἄλλος@p-p---nd- ἱστορέω@v-pppena- καθά@d-------- καί@d-------- ἐπί@r-------- ὁ@l-p---fg- πλειάδες@n-p---fg- n@n-------- 10@x-------- εἰμί@v3spia--- δέ@g-------- ἔοικα@v-srpann- ὄρειος@v--pna--- τε@g-------- πελειάς@n-p---fg- μή@c-------- τηλόθεν@d-------- ὠαρίων@n-s---ma- νέομαι@v--pne--- ὄρειος@a-s---nn- δέ@d-------- ὁ@l-s---nn- ζῷον@n-s---nn- ἔνιοι@a-p---mn- δέ@d-------- ἱστορικός@a-s---nac ἀκούω@v3ppia--- ὁ@l-s---ma- γάρ@d-------- ἀλφειός@n-s---ma- φημί@v3ppia--- ἔρως@n-s---md- ἁλίσκομαι@v-sapama- ὁ@l-s---fg- ἄρτεμις@n-s---fg- ἐπιδιώκω@v--ana--- αὐτός@p-s---fa- ἄχρι@r-------- σικελία@n-s---fg- ὁ@l-s---ng- δέ@d-------- τέλος@n-s---ng- ὁ@l-s---fg- δίωξις@n-s---fg- αὐτόθι@d-------- γίγνομαι@v-sapmng- αὐτόθι@d-------- συνίστημι@v--ana--- ὁ@l-s---fa- ἀρέθουσα@n-s---fa- διά@r-------- οὗτος@p-s---na- δέ@d-------- καί@d-------- ὁ@l-s---fa- ἄρτεμις@n-s---fa- ἀλφειώ@n-s---fa- προσαγορεύω@v--pne--- καί@d-------- ἐν@r-------- ὀλυμπία@n-s---fd- δέ@d-------- ὁ@l-s---mn- ἀλφειός@n-s---mn- ὁ@l-s---fd- ἄρτεμις@n-s---fd- συναφίδρυμαι@v3srie--- καί@d-------- ὁ@l-s---fa- ποτάμιον@n-s---fa- δέ@d-------- ἄρτεμις@n-s---fa- εἰμί@v--pna--- ὅς@p-p---mn- παρά@r-------- ὁ@l-s---md- πίνδαρος@n-s---md- p@n-------- εἰμί@d-------- 7@n-------- ἀκούω@v3ppia--- διά@r-------- ὁ@l-s---na- ἐπί@r-------- αὐτός@p-s---fd- ὁ@l-s---mg- ἀλφειός@n-s---mg- πάθος@n-s---na- εἰμί@v--pna--- δέ@d-------- ὅς@p-p---mn- ἀλφειώ@n-s---fa- ὁ@l-s---fa- ἄρτεμις@n-s---fa- λέγω3@v3ppia--- διά@r-------- ὁ@l-s---na- ὁ@l-s---ma- ἀλφειός@n-s---ma- διά@r-------- ὁ@l-s---mg- πλησίος@d-------- ὁ@l-s---fg- ἠλεία@n-s---fg- ἀρτεμίσιον@n-s---ng- καταφέρω@v--pne--- ἔχω@v3spoa--- δέ@d-------- ἄν@d-------- οὐ@d-------- φαῦλος@d-------- δέμνιον@n-s---na- ἄρτεμις@n-s---fg- λέγω3@v--pne--- ὁ@l-s---fa- ὀρτυγία@n-s---fa- οἷος@p-s---na- ἐνδιαίτημα@n-s---na- καί@c-------- διατριβή@n-s---fa- ἱερός@a-s---fa- γάρ@d-------- ὁ@l-s---fa- πᾶς@a-s---fa- νῆσος@n-s---fa- φερσεφόνη@n-s---fg- εἰμί@v--pna--- ὅτι@c-------- δέ@d-------- ὁ@l-s---fn- αὐτός@p-s---fn- εἰμί@v3spia--- ὁ@l-s---fd- ἄρτεμις@n-s---fd- καλλίμαχος@n-s---mn- ἐν@r-------- ἑκάλη@n-s---fd- fr@n-------- ὅς@p-p---mn- νῦν@d-------- καί@d-------- ἀπόλλων@n-s---ma- παναρκής@a-s---mg- ἠέλιος@n-s---mg- χώρα@n-s---md- διατμήγω@v3ppia--- καί@c-------- εὔπους@a-s---fa- δηιώνη@n-s---fa- ἄρτεμις@n-s---fg-"
"Sch.Pind.Nem._1.4","a@i-------- δάλιος@n-s---mg- κασιγνήτη@n-s---mn- ὁ@l-s---fa- ὀρτυγία@n-s---fa- ὁ@l-s---fg- δῆλος@n-s---fg- κασιγνήτη@n-s---fa- ἐρῶ@v3sria--- μετάγω@v-sppamn- ὁ@l-p---na- ἐπί@r-------- ὁ@l-p---mg- θεός@n-p---mg- λέγω3@v-pppena- κατά@r-------- ὁ@l-p---mg- τόπος@n-p---mg- ὅστις@p-p---mn- ἀπό@r-------- ἐκεῖνος@p-p---mg- προσαγορεύω@v3paip--- ὁ@l-p---mn- δέ@d-------- διά@r-------- ὁ@l-s---fa- ὁμωνυμία@n-s---fa- ὡσανεί@d-------- φημί@v3siia--- ἐν@r-------- ὅς@p-s---nd- ὁ@l-s---fn- ἄρτεμις@n-s---fn- γεννάω@v3saip--- ὥσπερ@c-------- ἐν@r-------- δῆλος@n-s---fd- ἔθω@v3sria--- γάρ@d-------- ὁ@l-s---mn- πίνδαρος@n-s---mn- μετάγω@v--pna--- ὁ@l-p---fa- ὁμωνυμία@n-p---fa- ὥστε@d-------- ὁ@l-s---nn- λέγω3@v-sappnn- ἐπί@r-------- ὁ@l-s---fg- εἰς@r-------- δῆλος@n-s---fa- ὀρτυγία@n-s---fg- οὗτος@p-s---nn- ἐπί@r-------- ὁ@l-s---fd- πρός@r-------- συρακοῦσαι@n-p---fd- μετάγω@v3saip--- ἔνιοι@a-p---mn- δέ@d-------- κασιγνήτη@n-s---ma- ἀκούω@v3ppia--- ἀντί@r-------- ὁ@l-s---ng- συγγενής@a-s---ng- διά@r-------- ὁ@l-s---fa- ὁμοιότης@n-s---fa- κοινός@a-p---nn- γάρ@d-------- ὁ@l-p---nn- ἐπί@r-------- ἑκάτερος@a-s---fg- ἱστορέω@v-pppenn- καί@d-------- γάρ@g-------- νῆσος@n-s---fn- ὁ@l-s---fn- δῆλος@n-s---fn- καί@c-------- ὁ@l-s---fn- ὀρτυγία@a-s---fn- ὁ@l-s---fn- ἐν@r-------- συρακοῦσαι@n-p---fd- νῆσος@n-s---fn- καί@c-------- ὑποδέχομαι@v3paim--- θεός@n-p---ma- ἀμφότερος@a-p---fn- καί@d-------- ὁ@l-s---fn- μέν@d-------- ἔκρυσις@n-s---fa- διά@r-------- πέλαγος@n-s---ng- ὁ@l-s---fn- δέ@c-------- ἐκ@r-------- ὁ@l-s---mg- νεῖλος@n-s---mg- διά@r-------- ὁ@l-s---ma- ἰνωπός@n-s---ma- b@x-------- ἄλλως@d-------- δοκέω@v3spia--- μέν@d-------- πρός@r-------- ὁ@l-s---na- βίαιος@a-s---na- ὁ@l-s---fa- πρός@r-------- ὁ@l-p---fd- συρακοῦσαι@n-p---fd- ἀδελφή@n-s---fa- λέγω3@v--pna--- ὁ@l-s---fg- δῆλος@n-s---fg- ὁ@l-s---na- δέ@d-------- ὅλος@a-s---na- διά@r-------- ὁ@l-s---fa- ὁμωνυμία@n-s---fa- αὐτός@p-s---md- ὁ@l-s---mn- λόγος@n-s---mn- προάγω@v3saip--- ὁ@x-------- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- ὦ@i-------- σεμνός@a-s---nas ἀνάπαυμα@n-s---nv- ὁ@l-s---ng- ἀλφειός@n-s---mg- ὁ@l-p---fg- συρακοῦσαι@n-p---fg- καί@c-------- ὁ@l-s---fg- σικελία@n-s---fg- κόσμος@n-s---mv- καί@c-------- βλάστημα@n-s---nv- ὁ@l-s---fg- ἄρτεμις@n-s---fg- ἐνδιαίτημα@n-p---nn- καί@c-------- ὁ@l-s---fg- δῆλος@n-s---fg- ἀδελφή@n-s---fn- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- ὦ@i-------- σεμνός@a-s---nv- καί@c-------- σεμνός@a-s---nas ἄμπνευμα@n-s---nv- καί@c-------- ἀνάπαυμα@n-s---na- ὁ@l-s---ng- ἀλφειός@n-s---mg- ὁ@l-p---fg- συράκω@n-p---fg- καί@c-------- ὁ@l-s---fg- σικελία@n-s---fg- ὁ@l-p---fg- κλεινός@a-p---fg- θάλος@n-s---nn- καί@d-------- κόσμος@n-d---mn- καί@c-------- βλάστημα@n-s---nn- ὁ@l-s---fg- ἄρτεμις@n-s---fg- δέμνιον@n-s---nn- καί@c-------- ἐνδιαίτημα@n-s---nn- καί@c-------- ὁ@l-s---fg- δῆλος@n-s---fg- κασιγνήτη@n-s---fn- καί@c-------- ἀδελφή@n-s---fn- οὗτος@p-s---nn- δέ@d-------- καί@c-------- διά@r-------- ὁ@l-s---fa- ὁμωνυμία@n-s---fa- ὀρτυγία@n-s---fn- γάρ@d-------- καί@d-------- ὁ@l-s---fn- δῆλος@n-s---fn- καλέω@v3siie--- καί@c-------- διά@r-------- ὁ@l-s---na- θεοφιλής@a-s---na- ἐν@r-------- δῆλος@n-s---fd- γάρ@d-------- εἰμί@v3siia--- ὁ@l-s---fn- ἄρτεμις@n-s---fn- διά@x-------- σύ@p-s---mg- ἁδυεπής@a-s---mn- ἐκ@r-------- σύ@p-s---mg- ἡδυεπής@a-s---fn- καί@c-------- εὔφημος@a-s---fn- e@i-------- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- ἀπό@r-------- σύ@p-s---mg- ὦ@i-------- ὀρτυγία@n-s---mv- ὁ@l-s---mn- ἡδυεπής@a-s---mn- ὕμνος@n-s---mn- ὁ@l-s---fa- ὁρμή@n-s---fa- ἔχω@v3spia--- ὥστε@c-------- τίθημι@v--ana--- καί@c-------- πληρόω@v--ana--- ἔπαινος@n-s---ma- μέγας@a-s---ma- ὁ@l-p---mg- ὀξύς2@a-p---mgs ἵππος@n-p---mg- ζεύς@n-s---mg- ἕνεκα@r-------- ὁ@l-s---mg- ἐν@r-------- ὁ@l-s---fd- αἴτνη@n-s---fd- ζεύς@n-s---md- γάρ@d-------- ἀνάκειμαι@v3spie--- καί@d-------- οὗτος@a-s---mn- ὁ@l-s---mn- ἀγών@n-s---mn- f@d-------- ἐν@r-------- γάρ@d-------- ὁ@l-s---fd- αἴτνη@n-s---fd- ζεύς@n-s---mg- ἱερόν@n-s---nn- εἰμί@v3spia--- g@x-------- σύ@p-s---mg- ἁδυεπής@a-s---mn- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- σύ@p-p---mg- καί@c-------- ἐκ@r-------- σύ@p-s---fg- εὔφημος@a-s---mn- ὁ@l-s---mn- ὕμνος@n-s---mn- ὁ@l-s---mn- ἡδυεπής@a-s---mn- ὁρμάω@v3spie--- ἀντί@r-------- ὁ@p-s---ng- ὁ@l-s---fa- ὁρμή@n-s---fa- ἔχω@v3spia--- ὥστε@c-------- τίθημι@v--ana--- καί@d-------- τίθημι@v--ana--- καί@c-------- πληρόω@v--ana--- αἶνος@n-s---ma- καί@c-------- ἔπαινος@n-s---ma- μέγας@a-s---ma- ὁ@l-p---fg- ἀελλοποδίος@n-p---ng- καί@c-------- ὁ@l-p---mg- ὀξύς2@a-p---mgs ἵππος@n-p---mg- χάρις@r-------- καί@d-------- ἕνεκα@r-------- ὁ@l-s---mg- ζεύς@n-s---mg- ὁ@l-s---mg- αἰτναῖος@a-s---mg- ὁ@l-s---mg- ἐν@r-------- ὁ@l-s---fd- αἴτνη@n-s---fd- ζεύς@n-s---md- γάρ@d-------- ἀνάκειμαι@v3spie--- καί@d-------- οὗτος@a-s---mn- ἀγών@n-s---mn- ἐν@r-------- γάρ@g-------- ὁ@l-s---fd- αἴτνη@n-s---fd- ζεύς@n-s---mg- ἱερόν@n-s---nn-"
"Sch.Pind.Nem._1.7","a@i-------- ζεύς@n-s---mg- αἰτναῖος@a-s---mg- ἐν@r-------- γάρ@d-------- ὁ@l-s---fd- αἴτνη@n-s---fd- ζεύς@n-s---mg- ἱερόν@n-s---nn- εἰμί@v3spia--- b@x-------- ζεύς@n-s---mg- αἰτναῖος@a-s---mg- χάρις@n-s---fa- ἤ1@d-------- εἰς@r-------- χάρις@r-------- ὁ@l-s---mg- ζεύς@n-s---mg- ἤ1@c-------- ἕνεκα@r-------- ὁ@l-s---mg- ζεύς@n-s---mg- παρόσον@a-s---ma- ἐν@r-------- ὁ@l-s---md- ἀγών@n-s---md- καί@c-------- ἐν@r-------- ὁ@l-s---fd- πανήγυρις@n-s---fd- ὁ@l-s---mg- αἰτναῖος@a-s---mg- ζεύς@n-s---mg- ἀείδω@v3piia--- ὁ@l-p---mn- περί@r-------- ὁ@l-s---ma- ἱέρων@n-s---ma- ὁ@l-p---ma- ἐπί@r-------- ὁ@l-p---md- στεφανίτης@n-p---md- ἀγών@n-p---md- ποιέω@v-prpema- ἐπίνικος@n-p---ma- καί@c-------- ἀείδω@n-s---ma- πιθανός@a-s---ma- οὖν@d-------- φημί@v3spia--- ὁ@l-s---mn- δίδυμος@n-s---mn- καί@d-------- ὁ@l-s---ma- ἐπί@r-------- ὁ@l-s---fg- χρίμιος@n-s---mg- νεμεακός@n-s---fg- νίκη@n-s---fg- ἐπίνικος@a-s---ma- ἕνεκα@r-------- οὗτος@p-s---ng- συντάσσω@v--rne--- ὑπέρ@r-------- ὁ@l-s---ng- μέλλω@v--pna--- αὐτός@p-s---ma- ὑπό@r-------- ὁ@l-s---fg- πανήγυρις@n-s---fg- ἀείδω@v--fnp--- ὁ@l-s---mn- δέ@d-------- τρόπος@n-s---mn- ποιητικός@a-s---mn- ὥστε@c-------- ὁ@l-s---na- ἀπό@r-------- ὁ@l-s---ng- αὐτόματος@a-s---ng- συμβαίνω@v-sppana- ὡς@d-------- αἴτιος@a-s---na- λαμβάνω@v--pna--- οὐ@d-------- γάρ@d-------- ἕνεκα@r-------- ὁ@l-s---ng- ἀείδω@v--anp--- ὁ@l-s---ma- ἐπίνικος@a-s---ma- ἐν@r-------- ὁ@l-s---fd- πανήγυρις@n-s---fd- ὁ@l-s---mg- αἰτναῖος@a-s---mg- ζεύς@n-s---mg- νικάω@v3saia--- ἀλλά@c-------- νικάω@v-sapamg- μέλλω@v3siia--- ὁ@l-s---fn- εἰς@r-------- αὐτός@p-s---ma- ᾠδή@n-s---fn- ἀείδω@v--fnp---"
"Sch.Pind.Nem._1.8","ἅρμα@n-s---nn- δέ@d-------- ὀτρύνω@v3spia--- χρίμιος@n-s---mg- χρόμιος@n-s---mn- ἡνίοχος@n-s---mn- ἱέρων@n-s---mg- παίδειος@d-------- γίγνομαι@v-srpamn- ἅτε@d-------- δή@d-------- βασιλεύς@n-s---md- σύνειμι@v-sppamn- καί@c-------- ἄριστος@a-s---mns εἰμί@v-sppamn- ὁ@l-s---fa- ἱππικός@a-s---fa- πλουτέω@v3saia--- καί@c-------- ἄρχω@v3saim--- ἀφίστημι@v-sapamn- ὁ@l-s---mg- ἱέρων@n-s---mg- κατά@r-------- ἑαυτοῦ@p-s---ma- ἱπποτροφεῖον@v--pna--- νικάω@v3spia--- δέ@d-------- νῦν@d-------- ἵππος@n-s---md- ἅρμα@n-s---nd- πρῶτος@a-s---na- ἀγωνίζομαι@v-sapmmn-"
"Sch.Pind.Nem._1.10","ζεύγνυμι@v--ana--- μέλος@n-s---na- συντίθημι@v--ana--- ἐγκωμιαστικός@a-s---na- μέλος@n-s---na- εἰμί@v3spia--- δέ@d-------- ὁ@l-s---nn- σχῆμα@n-s---nn- περίφρασις@n-s---fn-"
"Sch.Pind.Nem._1.11","a@i-------- ἀρχή@n-p---fn- δέ@d-------- βάλλω@v3prie--- θεός@n-p---mg- ὁ@l-s---mg- ἐγκωμίον@n-s---ng- οὗτος@p-s---na- δέ@d-------- λέγω3@v3spia--- διά@r-------- ὁ@l-s---na- ἀπό@r-------- θεός@n-s---mg- ὁ@l-s---fg- ἄρτεμις@n-s---fg- κατάρχω@v--rne--- ὥστε@c-------- ἀρχή@n-p---fa- ὁ@l-p---na- προοίμιον@n-p---na- ὁ@l-s---fg- ᾠδή@n-s---fg- αὐτός@p-s---ma- λέγω3@v--pna--- ἔθος@n-s---nn- δέ@d-------- πίνδαρος@n-s---md- θεός@n-p---md- ἀνάπτω@v--pna--- ὁ@l-p---na- ὁπωσοῦν@d-------- ὁ@l-p---md- ἄνθρωπος@n-p---md- ἐκπονέω@v-pppena- b@x-------- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- ὁ@l-p---fn- γάρ@d-------- ἀρχή@n-p---fn- ὁ@l-p---fd- δαιμόνιος@n-p---fd- καί@c-------- θεῖος1@a-p---fd- ἀρετή@n-p---fd- ἐκεῖνος@a-s---mg- ὁ@l-s---mg- ἀνήρ@n-s---mg- ἐκ@r-------- θεός@n-p---mg- βάλλω@v3prie--- ἀντί@r-------- ὁ@l-s---ng- ἐκ@r-------- πρῶτος@a-s---fg- καταβολή@n-s---fg- ὁ@l-s---fn- τύχη@n-s---fn- οὗτος@p-s---md- συλλαμβάνω@v3saia---"
"Sch.Pind.Nem._1.13","a@i-------- εἰμί@v3spia--- δέ@d-------- ἐν@r-------- εὐτυχία@n-s---fd- κατά@r-------- πᾶς@a-p---na- μέρος@n-p---na- ὁ@l-s---mg- βίος@n-s---mg- ἄκρος@d-------- ἔνδοξος@a-s---mn- ὁ@l-s---mn- εὐτυχής@a-s---mn- καί@d-------- εὐριπίδης@n-s---mn- fr@n-------- 1017@x-------- ὁ@l-s---ma- εὐτυχέω@v-sppama- καί@d-------- φρονέω@v--pna--- νομίζω@v1ppia--- b@x-------- ἤ1@c-------- οὕτως@d-------- εἰμί@v3spia--- δέ@d-------- καί@d-------- ἐκ@r-------- ὁ@l-s---fg- εὐτυχία@n-s---fg- καί@c-------- εἰς@r-------- ἄκρον@a-s---na- εὐδοξία@n-s---fg- ἀφικνέομαι@v--anm---"
"Sch.Pind.Nem._1.14","μέγας@a-p---mg- δέ@d-------- ἆθλος@n-p---mg- μοῦσα@n-s---fn- μιμνήσκω@v--pne--- φιλέω@v3spia--- ἀντί@r-------- ὁ@p-s---ng- μέγας@a-p---ngs ἀγώνισμα@n-p---ng- ὁ@l-s---fn- μοῦσα@n-s---fn- μιμνήσκω@v--rne--- βούλομαι@v3spie---"
