"location","text"
"Sch.Pind.Isth._1.1","a@i-------- μήτηρ@n-s---fv- ἐμός@a-s---fn- παρόσον@a-s---ma- καί@d-------- ὁ@l-s---mn- πίνδαρος@n-s---mn- θηβαῖος@a-s---mn- οὗτος@a-s---nn- γάρ@d-------- ὁ@l-s---nn- πρός@r-------- ὁ@l-s---ma- ἡρόδοτος@n-s---ma- δίκαιος@a-s---nn- καθίστημι@v3spia--- ὁ@l-s---ma- λόγος@n-s---ma- πρός@r-------- ὁ@l-s---fa- θήβη@n-s---fa- καί@c-------- ὁ@l-p---mg- ἐν@r-------- χείρ@n-p---fd- ἀφίημι@v-sapmma- παραθήγω@v3saia--- καί@d-------- ὁ@l-s---fg- ὁ@l-s---mg- ἐπίνικος@a-s---mg- γραφή@n-s---fg- φροντίζω@v--ana--- ἐν@r-------- ὁ@l-s---nd- αὐτός@p-s---nd- δέ@d-------- καί@d-------- πρός@r-------- ὁ@l-s---fa- πατρίς@n-s---fa- καί@c-------- πρός@r-------- ὁ@l-s---fa- ἡρωίς@n-s---fa- ἀπό@r-------- ὅς@p-s---fg- ὁ@l-s---fn- πόλις@n-p---fa- καλέω@v3spie--- ὁ@l-p---ma- λόγος@n-p---ma- ποιέω@v3spie--- ὁ@l-s---fn- γάρ@d-------- χρύσασπις@n-s---fn- ἐπί@r-------- ὁ@l-s---fg- ἡρωίς@n-s---fg- ὅς@p-s---fa- ἀσωπός@n-s---mg- καί@c-------- μετώπη@n-s---fg- ὁ@l-s---fg- λάδων@n-s---mg- φημί@v3ppia--- b@x-------- ὁ@l-s---mn- δέ@d-------- νόος@n-s---mn- ὦ@i-------- θήβη@n-s---fv- ἐμός@a-s---fv- μήτηρ@n-s---fv- ὁ@l-s---na- σός@a-s---na- πρᾶγμα@n-s---na- καί@d-------- πᾶς@a-s---fg- ἀσχολία@n-s---fg- κρείσσων@a-s---nac προτίθημι@v1spia--- καί@c-------- κρίνω@v1spia--- μηδαμῶς@d-------- ἐγώ@p-s---md- ὁ@l-s---fn- τραχύς@a-s---fn- καί@c-------- πετρώδης@a-s---fn- δῆλος@n-s---fn- νεμεσάω@v3saoa--- ἐπί@r-------- ὅς@p-s---nd- νῦν@d-------- πᾶς@a-s---mn- ἔγκειμαι@v1spie--- τίς@p-s---nn- βελτίων@a-s---nnc ἤ1@c-------- προσφιλής@a-s---nnc ὁ@l-p---nd- ἀγαθός@a-p---nd- ὁ@l-s---fg- ἑαυτοῦ@p-p---mg- πατρίς@n-s---fg- φημί@v3spia--- ὁ@l-s---nn- γάρ@d-------- κεδνός@a-p---mg- τοκεύς@n-p---mg- ἀντί@r-------- ὁ@l-s---mg- ὁ@l-s---fg- πατρίς@n-s---fg- ὁ@x-------- χρύσασπις@n-s---md- ἀντί@r-------- ὁ@p-s---ng- τίμιος@n-s---fn- κατά@r-------- ὁ@l-p---na- ὅπλον@n-p---na- ἐκ@r-------- δέ@d-------- οὗτος@p-s---ng- ὦ@i-------- γενναῖος@a-p---ma- ἔχω@v-sppafv- ἀνήρ@n-p---ma-"
"Sch.Pind.Isth._1.3","κραναός@a-s---fn- τραχύς@a-s---fn- καί@c-------- πετρώδης@a-s---fn- ὁ@l-s---fn- νῆσος@n-s---fn- εἰμί@v3spia--- δέ@d-------- εἷς@a-s---fn- ὁ@l-p---fg- κίλιξ@n-p---fg- κατά@r-------- ὁ@l-s---na- αἰγαῖος@a-s---na- πέλαγος@n-s---na- ἐκ@r-------- οὗτος@p-s---ng- δῆλος@a-s---nn- ὅτι@c-------- εἰς@r-------- δῆλος@n-s---fa- γράφω@v3siia--- κείω@n-p---md- ὥστε@c-------- καί@d-------- ὑποβάλλω@v-sppamn- φημί@v3spia--- 8@a-------- ἐν@r-------- κέως@n-s---md- ἀμφίρυτος@a-s---md-"
"Sch.Pind.Isth._1.4","ἐν@r-------- ὅς@p-s---nd- χέω@v1srie--- οὗτος@p-s---nn- εἰμί@v3spia--- ἐπί@r-------- ὅς@p-s---nd- νῦν@d-------- ὁ@l-s---fd- δῆλος@n-s---fd- ὁ@l-s---fa- σπουδή@n-s---fa- ἔχω@v1siia--- ὁ@l-s---fg- γραφή@n-s---fg-"
"Sch.Pind.Isth._1.6","a@i-------- εἴκω@v2sama--- ὦ@i-------- ἀπολλωνιάς@n-p---fa- ἀμφότερος@a-p---fg- σύ@d-------- χάρις@n-p---fg- σύν@r-------- θεός@n-p---md- δύο@m-------- χάρις@n-p---fg- εἷς@a-s---fg- μέν@d-------- ὅτι@c-------- αὐτός@p-s---fd- ὁ@l-s---na- ἀσυμπέραστος@a-s---na- γράφω@v3spia--- ποίημα@n-s---na- δεύτερος@a-s---fg- δέ@c-------- ὅτι@c-------- πείθω@v-sappfn- ὑποχωρέω@v3saia--- ὁ@l-s---nd- νῦν@d-------- ὁ@l-s---mg- ἡρόδοτος@n-s---mg- ἐγκώμιος@n-s---nd- b@x-------- ὁ@l-s---nn- δέ@d-------- ἑξῆς@d-------- ὑποχωρέω@v2sama--- ὦ@i-------- ὁ@l-s---md- ἀπόλλων@n-s---md- τιμάω@v-srpefn- δῆλος@n-s---mv- ὅτι@c-------- κατά@r-------- αὐτός@p-s---fa- γίγνομαι@v3saim--- ὁ@l-s---mn- θεός@n-s---mn- δύο@m-------- γάρ@d-------- χάρις@n-p---fg- ἕνεκα@r-------- συμπράσσω@v-pppamg- ὁ@l-p---mg- θεός@n-p---mg- παρασκευάζω@v1sfia--- σύ@p2s---cd- ὕμνος@n-s---ma- ὁ@x-------- ἔνιοι@a-p---mn- δέ@d-------- οὕτως@d-------- ἀμφότερος@a-p---fg- ὁ@l-p---fg- χάρις@n-p---fg- ὁ@l-s---na- τέλος@n-s---na- συναρμόζω@v1sfia--- κατά@r-------- ὅς@p-s---fa- τε@d-------- σύ@p2s---cd- χαριστέος@a-s---nn- εἰμί@v3spia--- καί@c-------- κατά@r-------- ὅς@p-p---fg- ὁ@l-s---fd- πατρίς@n-s---fd- οἱονεί@d-------- ἀμφότερος@a-p---na- ποιέω@v1sfia--- καί@c-------- ὁ@l-s---ma- ἀπόλλων@n-s---ma- ἐν@r-------- ὅς@a-s---md- δεῖ@v3siia--- καιρός@n-s---md- ὑμνέω@v1sfia--- καί@c-------- ὁ@l-s---ma- ἐπίνικος@a-s---ma- πληρόω@v1sfia--- διά@x-------- ὁ@l-s---na- δέ@d-------- χορεύω@v-sppana- ἀντί@r-------- ὁ@l-s---ng- μετά@r-------- χορός@n-s---mg- ὑμνέω@v-sppamn- ἐπεί@c-------- ὁ@l-p---mn- χορός@n-p---mn- ἀπαγγέλλω@v3ppia--- ὁ@l-p---na- ποίημα@n-p---na- ἐν@r-------- δῆλος@n-s---fd- εἰς@r-------- ὁ@l-s---ma- ἀπόλλων@n-s---ma- πῶς@d-------- οὖν@d-------- ὁ@l-s---na- δηλιακός@a-s---na- ποίημα@n-s---na- φημί@v3spia--- ἀείδω@v--pna--- ἐν@r-------- κέως@n-s---md- μήποτε@d-------- οὖν@d-------- προαναλαμβάνω@v-pppamn- ἐν@r-------- ὁ@l-p---fd- πατρίς@n-p---fd- ὁ@l-p---mn- χορευτής@n-p---mn- μελετάω@v3piia--- ὁ@l-p---fa- ἀοιδή@n-p---fa- καί@c-------- οὕτως@d-------- ἄπειμι@v3piia--- e@i-------- ἀπό@r-------- οὖν@d-------- ὁ@l-s---ng- παρακολουθέω@v-sppamg- ὁ@l-p---md- ὕμνος@n-p---md- οὗτος@p-s---na- φημί@v3spia--- ἀντί@r-------- ὁ@l-s---ng- ὑμνέω@v-sppamn- ὅτι@c-------- μετά@r-------- χορεία@n-s---fg- λέγω3@v3piie--- ὁ@l-p---mn- ὕμνος@n-p---mn-"
"Sch.Pind.Isth._1.9","a@i-------- ἐν@r-------- κέως@n-s---md- ἀμφίρυτος@a-s---fd- σύν@r-------- πόντιος@a-p---md- ἀνήρ@n-p---md- σύν@r-------- ὁ@l-p---md- κατά@r-------- ὁ@l-s---fa- κέως@n-s---fa- φημί@v3spia--- πόντιος@a-p---ma- δέ@d-------- αὐτός@p-p---ma- φημί@v3siia--- ὡς@d-------- νησιώτης@n-p---ma- b@x-------- ὁ@l-s---nn- δέ@d-------- ἑξῆς@d-------- καί@d-------- ὁ@l-s---ma- ἄτμητος@a-s---ma- ὁ@l-p---fa- κόμη@n-p---fa- ἀπόλλων@n-s---ma- ὑμνέω@v-sppamn- ἐν@r-------- ὁ@l-s---fd- κέως@n-s---fd- ὁ@l-s---fd- ἑκατέρωθεν@d-------- περιρρέω@v-sppefd- θάλασσα@n-s---fd- σύν@r-------- ὁ@l-p---md- νησιώτης@n-p---md- ἐν@n-p---mg- ράς@n-p---md- καί@c-------- ὁ@l-s---fa- προβάλλω@v-srpefa- καί@c-------- ὑπό@r-------- θάλασσα@n-s---fg- περιορίζω@v-sppefa- ὁ@l-s---mg- ἰσθμός@n-s---mg- ἐξοχή@n-s---fa- ἵνα@c-------- εἰμί@v3spsa--- ὅλος@a-s---nn- ὅτι@c-------- ὑμνέω@v1sfia--- καί@d-------- ὁ@l-s---fa- κέως@n-s---fa- καί@d-------- σύ@p-s---ma- ὦ@i-------- δῆλος@n-s---mv- καί@c-------- ὁ@l-s---ma- ἰσθμός@n-s---ma- καί@d-------- ὕστερος@d-------c σύ@p-s---md- πάλιν@d-------- ὁ@l-s---ma- ἐπίνικος@a-s---ma- ἀποδίδωμι@v1sfia---"
"Sch.Pind.Isth._1.11","a@i-------- στέφανος@n-p---ma- ἕξ@a-------- καταχρηστικός@a-s---nac ἀπό@r-------- ὁ@l-p---mg- πλείων@a-p---mgc b@x-------- ἄλλως@d-------- ἤτοι@c-------- ἀριθμητικός@d-------- ἕξ@m-------- ἤ1@c-------- καταχρηστικός@d-------c ἐπί@r-------- πολύς@a-p---ng- ὁ@x-------- ἐπεί@c-------- στέφανος@n-p---ma- ἕξ@m-------- ὀπάζω@v3saia--- κάδμος@n-s---mg- στρατός@n-s---md- διαπορέω@v3spie--- τις@p-s---mn- ἐγχειρίζω@v3saia--- ὁ@l-s---md- κάδμος@n-s---mg- στρατός@n-s---md- τουτέστι@v3spia--- ὁ@l-p---fd- θῆβαι@n-p---fd- ὁ@l-p---ma- στέφανος@n-p---ma- ἔνιοι@a-p---mn- μέν@d-------- οὖν@d-------- ὁ@l-s---ma- ἰσθμός@n-s---ma- ἀκούω@v3ppia--- ὡς@d-------- ἑξάκις@d-------- νικάω@v-prpamg- ὁ@l-p---mg- θηβαῖος@n-p---mg- ὁ@l-p---na- ἴσθμιος@a-p---na- ἔνιοι@a-p---mn- δέ@d-------- αὐτός@a-s---ma- ὁ@l-s---ma- ἡρόδοτος@n-s---ma- οὗτος@p-s---ma- γάρ@d-------- ἑξάκις@d-------- ἴσθμιος@a-p---na- νικάω@v--rna--- θηβαῖος@a-s---ma- εἰμί@v-sppama- οὗτος@p-p---ng- δέ@d-------- οὐδέτερος@p-s---nn- ἐν@r-------- ὁ@l-p---fd- ἰσθμιακός@a-p---fd- ἀναγραφή@n-p---fd- ὁμολογέω@v3srie--- διά@r-------- ὅς@a-s---fa- αἰτία@n-s---fa- ὁ@l-p---mn- ἀριστάρχειος@n-p---mn- ψιλόω@v-pppamn- καί@c-------- ἐπί@r-------- ὁ@l-s---ng- νικηφόρος@a-s---ng- ἐκλαμβάνω@v-pppamn- ὁ@l-s---ma- λόγος@n-s---ma- περισσός@a-s---fa- εἰμί@v--pna--- φημί@v3ppia--- ὁ@l-s---fa- ἐκ@r-------- πρόθεσις@n-s---fa- ποιητικός@a-s---fd- συνήθεια@n-s---fd- ὁ@l-s---na- γάρ@d-------- ὅλος@a-s---na- εἰμί@v--pna--- ἐπεί@c-------- ὀπάζω@v3saia--- ὅς@p-s---nn- εἰμί@v3spia--- περιποιέω@v3saia--- ἄλλως@d-------- τε@d-------- οὐ@d-------- ἀναγκαῖος@n-s---nn- ἀριθμός@n-s---ma- κεῖμαι@v--pne--- πολύς@a-s---nd- γάρ@d-------- μᾶλλον@d-------c κυδαίνω@v--pne--- ὁ@l-s---ma- νικάω@v-srpama- ἀριστόδημος@n-s---mn- δέ@d-------- ὁ@l-s---mn- ἀλεξανδρεύς@n-s---mn- δασύνω@v-sppamn- καί@c-------- διαιρέω@v-sppamn- ὁ@l-s---na- μέν@d-------- ἕξ@a-s---na- ἐπί@r-------- ὁ@l-s---mg- ἡρόδοτος@n-s---mg- ἀκούω@v3spia--- ὁ@l-s---na- δέ@c-------- ὀπάζω@v3saia--- ἐπί@r-------- ὁ@l-s---mg- ἀπόλλων@n-s---mg- προστάτης@n-s---mn- γάρ@d-------- ὁ@l-p---mg- ἀγών@n-p---mg- ὁ@l-s---mn- θεός@n-s---mn- ἕξ@a-------- οὖν@d-------- πρόνοια@n-s---fd- φημί@v3spia--- ὁ@l-s---mg- θεός@n-s---mg- νικάω@v--rna--- ὁ@l-s---ma- ἡρόδοτος@n-s---ma- οὐ@d-------- ἰσθμικός@a-p---ma- ἀγών@n-p---ma- ἀλλά@c-------- σύμμικτος@a-p---ma- ὅς@p-p---ma- καί@d-------- αὐτός@a-s---ma- ἐπιλέγω@v--pna--- πίνδαρος@n-s---ma- ἐν@r-------- μέν@d-------- θῆβαι@n-p---fd- ἰόλεια@n-s---fn- ἤ1@c-------- ἡράκλεια@n-s---fn- ἐν@r-------- δέ@d-------- ὀρχομενός@n-s---md- μινύειος@n-s---fn- ἐν@r-------- δέ@d-------- εὔβοια@n-s---fd- βασίλειον@n-s---fn- ἐν@r-------- δέ@d-------- θεσσαλία@n-s---fd- πρωτεσίλεια@n-s---fn- καί@c-------- ἐν@r-------- ἰσθμός@n-s---md- νῦν@d-------- καί@c-------- ἄλλος@p-p---ma- δέ@c-------- περίχωρος@a-p---ma- ὅς@p-p---ma- διά@r-------- μακρός@a-p---ng- παρέρχομαι@v3saia--- ὁ@l-s---mn- πίνδαρος@n-s---mn-"
"Sch.Pind.Isth._1.13","ἐν@r-------- ὅς@p-s---md- ἐν@r-------- ὅς@p-s---fd- ὁ@l-s---fd- θήβη@n-s---fd- καί@d-------- χρήσιμος@a-s---fas ἑαυτοῦ@p-s---md- ὁ@l-p---mg- πάτριος@a-p---mg- εἰσβολή@n-s---fa- παρέχω@v3saim---"
"Sch.Pind.Isth._1.15","a@i-------- θρασύς@a-p---fn- συλληπτικός@a-s---mn- ὁ@l-s---mn- τρόπος@n-s---mn- εἷς@m-s---mn- γάρ@d-------- εἰμί@v3siia--- ὁ@l-s---mn- γηρυόνης@n-s---mg- κύων@n-s---mn- ἡσίοδος@n-s---mn- λέγω@v3saia--- theog@x-------- 309@x-------- ὄρθος@n-s---ma- μέν@d-------- πρῶτος@d-------- b@x-------- εἰς@r-------- ὁ@l-s---na- αὐτός@p-s---na- ἔθος@n-s---nn- ὁ@l-s---md- πίνδαρος@n-s---md- πρός@r-------- ὁ@l-s---na- ἑαυτοῦ@p-s---mg- συμφέρω@v-sppana- καί@c-------- ὁ@l-p---fa- ἱστορία@n-p---fa- βιάζω@v--pne--- εἷς@m-s---mg- γάρ@d-------- εἰμί@v-sppamg- ὁ@l-s---mg- γηρυόνης@n-s---mg- κύων@n-s---mg- ὡς@c-------- γε@d-------- καί@c-------- ἡσίοδος@n-s---mn- μαρτυρέω@v3spia--- theog@x-------- 293@x-------- ὄρθος@n-s---ma- τε@d-------- κτείνω@v-sapamn- καί@c-------- βουκόλος@n-s---ma- εὐρυτίων@n-s---ma- αὐτός@p-s---mn- ὁ@l-s---nd- πληθυντικός@a-s---nd- καταχράω@v-sapmmn- κύων@v2sama--- φημί@v3spia--- καί@d-------- μήποτε@d-------- ἀνάξιος@a-s---ma- ἡρακλῆς@n-s---mg- ἡγέομαι@v3saim--- πρός@r-------- ἆθλον@n-s---ma- καί@c-------- κατόρθωμα@n-s---na- ὁ@l-s---mg- ἥρως@n-s---mg- ἀντιπαρατάσσομαι@v--ana--- ὁ@l-s---ma- κύων@n-s---ma-"
"Sch.Pind.Isth._1.17","a@i-------- ἀλλά@d-------- ἐγώ@p1s---mn- ἡρόδοτος@n-s---md- τεύχω@v1siia--- ἀλλά@d-------- ἐγώ@p-s---mn- ὁ@l-s---md- ἡρόδοτος@n-s---md- κατασκευάζω@v-sppamn- ὁ@l-s---na- μέν@d-------- ὕμνος@n-s---na- ὅτι@c-------- τέθριππος@n-s---md- αὐτός@p-s---mn- ἀγωνίζομαι@v-sapemn- διά@r-------- ἑαυτοῦ@p-s---mg- νικάω@v3saia--- ὁ@l-s---na- δέ@d-------- ὅτι@c-------- καί@d-------- ἱπποτροφέω@v3saia--- αὐτός@p-s---ma- βούλομαι@v1spie--- ἐφαρμόζω@v--ana--- ἤ1@d-------- κάστωρ@n-s---mg- ἤ1@c-------- ἰόλαος@n-s---mg- ὕμνος@n-s---md- b@x-------- ὅς@p-s---na- δέ@d-------- λέγω3@v3spia--- τοιοῦτος@p-s---nn- εἰμί@v3spia--- ὁ@l-s---ma- ἡρόδοτος@n-s---ma- ἱπποτροφέω@v-sapama- καί@d-------- διά@r-------- ἑαυτοῦ@p-s---mg- ἀγωνίζομαι@v-sapema- καί@c-------- νικάω@v-srpama- ὅμοιος@d-------- κάστωρ@n-s---md- καί@c-------- ἰόλαος@n-s---md- ἀνυμνέω@v1saoa--- διά@r-------- οὗτος@p-p---ng- δέ@d-------- συνίστημι@v3spia--- ὅτι@c-------- αὐτός@a-s---mn- ἡνιοχέω@v3saia--- ὁ@l-s---mn- ἡρόδοτος@n-s---mn- κατά@r-------- ὁ@l-s---ma- ἀγών@n-s---ma- ὁ@x-------- ὁ@l-s---mn- δέ@d-------- λόγος@n-s---mn- ἐγώ@p1s---mn- δέ@d-------- ὁ@l-s---na- μέλος@n-s---na- ὁ@l-s---md- ἡρόδοτος@n-s---md- τεύχω@v-sppamn- ὁ@l-s---na- μέν@d-------- τις@p-s---na- καθόσον@a-s---na- νικάω@v3saia--- ὁ@l-s---na- δέ@c-------- τις@p-s---na- καθό@c-------- αὐτός@p-s---mn- ἡνιοχέω@v3saia--- διά@x-------- ὁ@l-s---nn- μέν@d-------- ἅρμα@n-s---nd- τέθριππος@a-s---nd- ὅτι@d-------- αὐτός@p-s---mn- ἱπποτροφέω@v3saia--- καί@c-------- ἐλαύνω@v3saia---"
"Sch.Pind.Isth._1.19","ἁνία@a-p---na- τε@p-s----a- ἀλλότριος@a-p---fd- οὐ@d-------- χείρ@n-p---fd- νωμάω@v-sapama- ἐθέλω@v1spia--- ἐλλείπω@v3spia--- διά@r-------- ὁ@l-s---na- νωμάομαι@v--pne---"
